Orig,ndcg,Bow,ndcg,Vector,ndcg
glimpse,0.688300327,glimpse,0.669497914,glimpse,0.690050212
facts,0.767268405,facts,0.696517316,facts,0.769003792
perfection,0.677522256,perfection,0.641254713,perfection,0.677643162
bound,0.599339564,bound,0.600088048,bound,0.599828176
speed,0.657030477,speed,0.593134641,speed,0.663604895
closely,0.664493407,closely,0.636654501,closely,0.664735195
successfully,0.66757969,successfully,0.644108511,successfully,0.668878017
victims,0.776836902,victims,0.727927868,victims,0.778239276
eat,0.755870322,eat,0.603861069,eat,0.759482972
boss,0.772984554,boss,0.658048786,boss,0.774457462
seek,0.650068093,seek,0.63403188,seek,0.649957728
rip,0.631434449,rip,0.614323881,rip,0.63221851
haunting,0.763707179,haunting,0.664662904,haunting,0.763668545
peace,0.683874162,peace,0.623543402,peace,0.687523397
accomplished,0.633906644,accomplished,0.629399333,accomplished,0.634725086
notable,0.645636076,notable,0.645880692,notable,0.646243229
colorful,0.735174082,colorful,0.692580287,colorful,0.73692571
providing,0.636326733,providing,0.644382941,providing,0.636461094
hide,0.625701999,hide,0.608858946,hide,0.625897844
satisfied,0.660376097,satisfied,0.646429012,satisfied,0.661178887
tedious,0.681938679,tedious,0.659471652,tedious,0.68269959
figured,0.685537915,figured,0.667753515,figured,0.680638259
foreign,0.724257858,foreign,0.635797664,foreign,0.724560101
ruin,0.666189251,ruin,0.66036122,ruin,0.667270185
response,0.662379551,response,0.646645084,response,0.662982765
obsessed,0.684963577,obsessed,0.633952747,obsessed,0.686211902
monster,0.810433951,monster,0.678915202,monster,0.826194221
everyday,0.675984342,everyday,0.639469556,everyday,0.676052957
eyed,0.643655217,eyed,0.627107958,eyed,0.644290095
introduction,0.660804542,introduction,0.649928607,introduction,0.663222962
committed,0.674435567,committed,0.655283904,committed,0.675418659
melodrama,0.804615734,melodrama,0.703010751,melodrama,0.806607293
dressed,0.673170511,dressed,0.636832709,dressed,0.67313872
convince,0.655003459,convince,0.641217855,convince,0.655573032
sold,0.664604538,sold,0.623786316,sold,0.667790431
depressing,0.769641974,depressing,0.676150942,depressing,0.77163347
national,0.663156272,national,0.629782057,national,0.664339349
tradition,0.685355819,tradition,0.632082976,tradition,0.685631522
science,0.84584343,science,0.804533518,science,0.846910033
model,0.619602265,model,0.587256906,model,0.620536053
overcome,0.699531536,overcome,0.662131215,overcome,0.701258457
table,0.63647259,table,0.605316413,table,0.630937285
reviewed,0.681433452,reviewed,0.633765199,reviewed,0.682250968
importance,0.655109311,importance,0.648153374,importance,0.65603075
receive,0.665366408,receive,0.641062661,receive,0.665676572
enjoys,0.660488317,enjoys,0.645654291,enjoys,0.658813222
whatsoever,0.667125951,whatsoever,0.649358058,whatsoever,0.667594976
amazingly,0.641229815,amazingly,0.640700023,amazingly,0.641403681
starred,0.6618189,starred,0.657674165,starred,0.661983099
inspiration,0.704820705,inspiration,0.660893528,inspiration,0.705479751
intensity,0.696318051,intensity,0.675308774,intensity,0.699495202
belief,0.707663542,belief,0.647966687,belief,0.708242483
twisted,0.749229431,twisted,0.668978476,twisted,0.751836767
nominated,0.785948179,nominated,0.68246367,nominated,0.788315509
multi,0.658624056,multi,0.64338675,multi,0.659173157
ladies,0.715783517,ladies,0.625211738,ladies,0.719380611
flow,0.651026009,flow,0.590628227,flow,0.652621498
saturday,0.705352707,saturday,0.635410723,saturday,0.707321851
carried,0.606997132,carried,0.614167855,carried,0.6074107
cash,0.603731078,cash,0.574599431,cash,0.604666131
depiction,0.721226531,depiction,0.708116019,depiction,0.721634161
separate,0.647290777,separate,0.626153543,separate,0.647269019
spoiler,0.709119066,spoiler,0.675458499,spoiler,0.708320168
amazed,0.6531834,amazed,0.651868953,amazed,0.653347083
refuses,0.664152689,refuses,0.648914569,refuses,0.665677747
thoughtful,0.718892088,thoughtful,0.682815306,thoughtful,0.719443762
legend,0.670105094,legend,0.617152621,legend,0.671601976
definately,0.668776421,definately,0.641469398,definately,0.670117146
harsh,0.703616763,harsh,0.643738836,harsh,0.70499961
glory,0.622625868,glory,0.586068231,glory,0.622359789
phone,0.663722048,phone,0.584799345,phone,0.665733759
alike,0.6400709,alike,0.652928511,alike,0.640978868
cases,0.664946216,cases,0.632528534,cases,0.666649895
hang,0.633300868,hang,0.620071125,hang,0.633818635
drives,0.662546949,drives,0.629383039,drives,0.663603046
reference,0.644791908,reference,0.64164874,reference,0.645304342
concerns,0.661844623,concerns,0.654356564,concerns,0.662542353
faith,0.781137863,faith,0.593922727,faith,0.782507723
happily,0.663977594,happily,0.634356577,happily,0.665359911
gang,0.785149999,gang,0.644674533,gang,0.788258187
rule,0.59376874,rule,0.580409873,rule,0.594281236
painfully,0.674655057,painfully,0.652378494,painfully,0.675135841
individuals,0.690159322,individuals,0.658757383,individuals,0.690722446
sophisticated,0.693722268,sophisticated,0.648390101,sophisticated,0.695955349
lesser,0.605041267,lesser,0.60340085,lesser,0.605165241
suffer,0.65591664,suffer,0.644697573,suffer,0.656511666
examples,0.621837312,examples,0.60422197,examples,0.622855806
costumes,0.840696919,costumes,0.746284235,costumes,0.842641843
increasingly,0.687072175,increasingly,0.666056738,increasingly,0.687399174
tour,0.68239829,tour,0.612260884,tour,0.683708105
goal,0.607806805,goal,0.575495132,goal,0.609178712
exercise,0.748409497,exercise,0.611601527,exercise,0.750013495
imdb,0.658059587,imdb,0.626712156,imdb,0.658412454
lights,0.624475894,lights,0.599302692,lights,0.625238571
struck,0.641368789,struck,0.634554442,struck,0.641054896
revolves,0.655472632,revolves,0.652597292,revolves,0.657390801
lessons,0.710408917,lessons,0.655548965,lessons,0.711672222
steps,0.627664587,steps,0.565370383,steps,0.622788144
importantly,0.649681197,importantly,0.643048071,importantly,0.65000289
fathers,0.707246228,fathers,0.607462643,fathers,0.708590054
gain,0.622005117,gain,0.613184691,gain,0.622235752
repeated,0.646071874,repeated,0.635338799,repeated,0.646843973
sudden,0.637727737,sudden,0.615570684,sudden,0.638288924
extent,0.6371499,extent,0.637752716,extent,0.637195173
fights,0.790772856,fights,0.674733991,fights,0.794926604
depicted,0.7145576,depicted,0.703279136,depicted,0.715023279
credible,0.65357963,credible,0.647327339,credible,0.654380849
month,0.630327568,month,0.586505499,month,0.634985162
beloved,0.658565229,beloved,0.621080074,beloved,0.655107817
territory,0.657671256,territory,0.640077153,territory,0.659709333
sympathy,0.644676499,sympathy,0.617234387,sympathy,0.646170922
reputation,0.662426218,reputation,0.648798943,reputation,0.663010154
allowing,0.623083816,allowing,0.622798529,allowing,0.623229102
bag,0.579571577,bag,0.575395664,bag,0.579783895
wears,0.674035055,wears,0.64249525,wears,0.67521103
thrilling,0.76940012,thrilling,0.69699957,thrilling,0.771156214
mental,0.798114638,mental,0.615124497,mental,0.802558436
belongs,0.622612382,belongs,0.622480563,belongs,0.622838111
instantly,0.655418462,instantly,0.653225585,instantly,0.656143566
develops,0.683954694,develops,0.665508659,develops,0.683886258
arms,0.640014871,arms,0.585852744,arms,0.642223114
anger,0.665398106,anger,0.603566076,anger,0.667389764
aint,0.507974466,aint,0.503712377,aint,0.508547761
usa,0.663446709,usa,0.629734606,usa,0.664722904
opened,0.643995131,opened,0.627939098,opened,0.6453936
returned,0.638723511,returned,0.621811873,returned,0.639399296
inspiring,0.805662257,inspiring,0.693078878,inspiring,0.80892661
strangely,0.661067808,strangely,0.653148121,strangely,0.661349757
government,0.828552112,government,0.708479102,government,0.829720401
movement,0.69217323,movement,0.62154408,movement,0.696649639
cynical,0.710580245,cynical,0.651729123,cynical,0.713227686
international,0.700648031,international,0.60500671,international,0.703662764
ironic,0.665503907,ironic,0.648865501,ironic,0.666497157
blend,0.677370425,blend,0.657166456,blend,0.678282527
net,0.859406098,net,0.630166707,net,0.861795307
picks,0.664701405,picks,0.630599441,picks,0.6611608
owner,0.747969496,owner,0.64778036,owner,0.749006182
surrounding,0.68626844,surrounding,0.667363354,surrounding,0.686400158
afternoon,0.573052328,afternoon,0.557954996,afternoon,0.574082101
weekend,0.58416695,weekend,0.552065473,weekend,0.585156205
laughable,0.715597583,laughable,0.696955106,laughable,0.712958318
spending,0.644175966,spending,0.627605258,spending,0.644855104
travel,0.729256901,travel,0.604432488,travel,0.746232643
revealing,0.678363471,revealing,0.661403902,revealing,0.679294812
dancing,0.860614437,dancing,0.683740915,dancing,0.86365315
additional,0.66855306,additional,0.658093046,additional,0.66917878
exists,0.653630078,exists,0.639302276,exists,0.654134615
tremendous,0.646876113,tremendous,0.643792709,tremendous,0.647006104
universal,0.726939615,universal,0.570459807,universal,0.716668831
freedom,0.717269931,freedom,0.655380102,freedom,0.716627036
mail,0.690433555,mail,0.584638165,mail,0.690375465
unforgettable,0.696270249,unforgettable,0.65813992,unforgettable,0.695678551
understood,0.65564173,understood,0.644337774,understood,0.656894918
tracks,0.65375325,tracks,0.612956498,tracks,0.65426221
push,0.616129891,push,0.58681876,push,0.61516667
season,0.773109607,season,0.49448991,season,0.787783168
deadly,0.649998948,deadly,0.628624342,deadly,0.650420227
displays,0.649181215,displays,0.640552562,displays,0.650886678
hint,0.638877543,hint,0.6461705,hint,0.639565646
blockbuster,0.726693523,blockbuster,0.658460002,blockbuster,0.735451401
stretch,0.641645442,stretch,0.608063485,stretch,0.643574487
essence,0.662757579,essence,0.65580892,essence,0.66249033
profound,0.728390354,profound,0.689361749,profound,0.729636847
gritty,0.808129671,gritty,0.726896362,gritty,0.810817962
mildly,0.697405808,mildly,0.682686966,mildly,0.698188008
specific,0.652850513,specific,0.6412588,specific,0.652850792
trapped,0.671030417,trapped,0.607992242,trapped,0.669099167
candy,0.534052875,candy,0.50400003,candy,0.534708115
scared,0.714097544,scared,0.662142009,scared,0.715460277
established,0.640488201,established,0.627994263,established,0.63985316
spanish,0.75843614,spanish,0.554930641,spanish,0.766149028
timing,0.719399183,timing,0.691700236,timing,0.723547356
pity,0.653335016,pity,0.644336303,pity,0.654561562
hearts,0.635039019,hearts,0.611106568,hearts,0.635353117
uneven,0.674949866,uneven,0.645457971,uneven,0.676052381
bear,0.532050221,bear,0.487848529,bear,0.534825678
environment,0.696200993,environment,0.646692182,environment,0.700083303
naked,0.750239115,naked,0.594285455,naked,0.752258353
ensemble,0.770430911,ensemble,0.655123859,ensemble,0.773174268
comfortable,0.664164233,comfortable,0.642728545,comfortable,0.664576206
gripping,0.765645869,gripping,0.697855609,gripping,0.770086143
busy,0.624236361,busy,0.61604382,busy,0.624579026
promising,0.679147184,promising,0.662138679,promising,0.681192411
grab,0.603132341,grab,0.601513841,grab,0.603385488
striking,0.664013643,striking,0.652472707,striking,0.664722504
destroy,0.699457884,destroy,0.685388488,destroy,0.702075714
succeed,0.649697208,succeed,0.6221554,succeed,0.649505349
flaw,0.591489361,flaw,0.592577909,flaw,0.591844764
suit,0.629093033,suit,0.598441304,suit,0.629217996
cultural,0.776904264,cultural,0.635630885,cultural,0.778144093
broke,0.629999908,broke,0.619479199,broke,0.630044921
covers,0.661765022,covers,0.651510464,covers,0.662825313
specifically,0.63383828,specifically,0.634673297,specifically,0.634137558
repeat,0.640427811,repeat,0.632552726,repeat,0.640829986
thirty,0.598218634,thirty,0.586887277,thirty,0.598727178
caring,0.677763805,caring,0.652619105,caring,0.678634676
renting,0.67854493,renting,0.648488927,renting,0.678803236
stayed,0.64777817,stayed,0.634431535,stayed,0.648730442
teens,0.806155167,teens,0.62995842,teens,0.808720846
lie,0.651044989,lie,0.574753981,lie,0.655264193
earned,0.671128358,earned,0.644708356,earned,0.671960626
tear,0.776235324,tear,0.656347377,tear,0.777716812
device,0.640168536,device,0.638475384,device,0.641188906
dynamic,0.649909708,dynamic,0.636594234,dynamic,0.650278906
pack,0.612778155,pack,0.59510764,pack,0.616060699
logic,0.683924122,logic,0.67142779,logic,0.685140209
quest,0.667544893,quest,0.657907319,quest,0.668074429
forgot,0.590798275,forgot,0.593440614,forgot,0.591022172
speech,0.660145437,speech,0.602676167,speech,0.661579934
spoken,0.646511794,spoken,0.628116636,spoken,0.647074199
raise,0.606434003,raise,0.576195502,raise,0.607252497
draws,0.654847036,draws,0.646580799,draws,0.654627489
instant,0.653408767,instant,0.635891961,instant,0.653010377
uncomfortable,0.710432156,uncomfortable,0.643901515,uncomfortable,0.710826166
resolution,0.684600191,resolution,0.659784325,resolution,0.687717811
perform,0.718867854,perform,0.680541422,perform,0.72122736
personalities,0.649989398,personalities,0.621825865,personalities,0.651839097
hundred,0.642953828,hundred,0.638253884,hundred,0.64421235
ruined,0.651403354,ruined,0.638989351,ruined,0.651357477
sum,0.623838205,sum,0.607670953,sum,0.620291826
intent,0.634615595,intent,0.630617467,intent,0.635401229
artists,0.778507952,artists,0.679997161,artists,0.782964286
powers,0.601670514,powers,0.564149086,powers,0.603741707
games,0.680070647,games,0.572772599,games,0.68294082
ambitious,0.726677871,ambitious,0.645893707,ambitious,0.721024527
performers,0.708784021,performers,0.663804852,performers,0.709723219
redeeming,0.692002793,redeeming,0.648592879,redeeming,0.692912207
comical,0.661133332,comical,0.663970021,comical,0.661974295
conventional,0.604233292,conventional,0.580150228,conventional,0.604143526
endearing,0.746535165,endearing,0.70556459,endearing,0.746780037
measure,0.626518485,measure,0.628425144,measure,0.626741877
strikes,0.604282955,strikes,0.583649057,strikes,0.605379038
expression,0.660842091,expression,0.644873409,expression,0.660613802
upset,0.671213569,upset,0.643906357,upset,0.67228659
requires,0.65720924,requires,0.651333259,requires,0.657453635
insane,0.718631381,insane,0.643955051,insane,0.720471637
unfolds,0.678234935,unfolds,0.663965328,unfolds,0.679646877
crisp,0.599771742,crisp,0.564685713,crisp,0.600784364
foot,0.640341234,foot,0.606064199,foot,0.639134145
forgettable,0.717757102,forgettable,0.67863057,forgettable,0.716855196
contact,0.639329968,contact,0.604797086,contact,0.632090341
army,0.767258217,army,0.711754601,army,0.77041658
evident,0.633858451,evident,0.633725752,evident,0.634130739
builds,0.691729512,builds,0.655652131,builds,0.692462598
cat,0.618795168,cat,0.528963313,cat,0.61991361
dinner,0.660338571,dinner,0.587813661,dinner,0.662261295
mild,0.683634307,mild,0.667236635,mild,0.673390751
frightening,0.78564729,frightening,0.743256614,frightening,0.786546819
teenager,0.769786972,teenager,0.644805565,teenager,0.769923661
repeatedly,0.656280827,repeatedly,0.636230871,repeatedly,0.657022591
criticism,0.646902277,criticism,0.631933125,criticism,0.647606538
regard,0.642132879,regard,0.642675906,regard,0.642615249
shine,0.609606727,shine,0.595438368,shine,0.610153157
jobs,0.618051157,jobs,0.548597782,jobs,0.617266951
gotta,0.630210477,gotta,0.619401705,gotta,0.630612866
ranks,0.643619092,ranks,0.637684687,ranks,0.643948343
fallen,0.557872288,fallen,0.545048036,fallen,0.55823731
differences,0.668489387,differences,0.621796415,differences,0.673304517
riveting,0.746415472,riveting,0.689853224,riveting,0.748376598
remarkably,0.641522103,remarkably,0.636630515,remarkably,0.641887654
irony,0.666501337,irony,0.64391212,irony,0.669760593
demands,0.677414619,demands,0.650916761,demands,0.677608593
occurs,0.648852003,occurs,0.639088199,occurs,0.649142834
represents,0.65175214,represents,0.639430981,represents,0.650577108
proof,0.5978378,proof,0.559167677,proof,0.598817627
friday,0.655885054,friday,0.504865956,friday,0.663047397
troubled,0.718348972,troubled,0.663782648,troubled,0.715370249
north,0.640302327,north,0.563063006,north,0.641668771
overlooked,0.639749039,overlooked,0.624746945,overlooked,0.640095955
laid,0.619362424,laid,0.586370724,laid,0.614820734
utter,0.654781973,utter,0.635712128,utter,0.655435271
daily,0.688385777,daily,0.650114619,daily,0.690644891
beneath,0.653760097,beneath,0.591533327,beneath,0.654009776
massive,0.695576342,massive,0.674338929,massive,0.694932531
bucks,0.644465371,bucks,0.612882539,bucks,0.648768184
arrive,0.656032519,arrive,0.626764987,arrive,0.656498699
easier,0.66243572,easier,0.632576782,easier,0.665287456
identify,0.664732429,identify,0.641941873,identify,0.664021024
courage,0.709878437,courage,0.669750144,courage,0.711137477
flawless,0.644828508,flawless,0.614201251,flawless,0.645036396
amp,0.650468551,amp,0.607252339,amp,0.651631616
needless,0.633726034,needless,0.630455895,needless,0.632837186
unrealistic,0.669575861,unrealistic,0.632011155,unrealistic,0.671333445
originality,0.697605543,originality,0.662927142,originality,0.697354884
lee,0.72391925,lee,0.585137095,lee,0.71770161
protect,0.680892859,protect,0.636782184,protect,0.682169091
suspenseful,0.804776107,suspenseful,0.76143504,suspenseful,0.808362342
highlights,0.631809613,highlights,0.629352948,highlights,0.632601551
email,0.829179435,email,0.651377919,email,0.830039068
highest,0.643666237,highest,0.634744119,highest,0.643852444
briefly,0.631978772,briefly,0.631255746,briefly,0.632125307
express,0.569025151,express,0.558148941,express,0.56972573
buddy,0.644484561,buddy,0.580497002,buddy,0.646686469
disappoint,0.651681306,disappoint,0.641032555,disappoint,0.652044509
neat,0.641869066,neat,0.648526843,neat,0.642455016
eating,0.724234169,eating,0.575459738,eating,0.72721424
typically,0.621485961,typically,0.615690513,typically,0.622141682
cinematographer,0.734028772,cinematographer,0.673145809,cinematographer,0.731206759
brave,0.652133343,brave,0.621721168,brave,0.652524757
proved,0.63785103,proved,0.635938929,proved,0.642569305
flesh,0.647309251,flesh,0.571763312,flesh,0.648613689
wonders,0.623722911,wonders,0.624411308,wonders,0.62394799
consistently,0.684921672,consistently,0.650316,consistently,0.685116882
bitter,0.665586325,bitter,0.634252504,bitter,0.665976735
drinking,0.751928122,drinking,0.596126207,drinking,0.753431156
consequences,0.702494897,consequences,0.661353776,consequences,0.704166712
lord,0.658820788,lord,0.602421482,lord,0.670667085
sends,0.675771068,sends,0.636306572,sends,0.675912429
watches,0.670349502,watches,0.648556518,watches,0.671752652
criminal,0.77166113,criminal,0.721776772,criminal,0.77491224
alas,0.644289444,alas,0.6406111,alas,0.645803359
throwing,0.638084937,throwing,0.622684826,throwing,0.638107022
politics,0.813565842,politics,0.682798083,politics,0.816733114
nightmare,0.648754391,nightmare,0.602519885,nightmare,0.655069392
trick,0.61789421,trick,0.587924027,trick,0.618072761
warned,0.666688751,warned,0.647344935,warned,0.668354521
online,0.658775054,online,0.614002124,online,0.659269445
stone,0.544187987,stone,0.499061725,stone,0.544238766
captivating,0.673790288,captivating,0.654998266,captivating,0.674316959
broad,0.684838812,broad,0.654633449,broad,0.677828786
removed,0.638860989,removed,0.624446961,removed,0.639556795
walked,0.618268388,walked,0.599998542,walked,0.61804091
guns,0.694122982,guns,0.647315808,guns,0.696025634
screaming,0.625436641,screaming,0.611737409,screaming,0.625769729
checking,0.626064375,checking,0.623598248,checking,0.626765304
opposed,0.627595053,opposed,0.623079899,opposed,0.627646904
entry,0.734018829,entry,0.637445562,entry,0.737715175
persona,0.673328307,persona,0.637208298,persona,0.674836301
wooden,0.668370271,wooden,0.644049312,wooden,0.669368429
encounters,0.642539704,encounters,0.605213746,encounters,0.642460252
everyones,0.605384054,everyones,0.598652022,everyones,0.606053785
marks,0.595250227,marks,0.588466883,marks,0.595878125
wins,0.667834479,wins,0.627882306,wins,0.670093428
clue,0.64518238,clue,0.633441398,clue,0.646803839
convey,0.66797793,convey,0.658336691,convey,0.667885642
areas,0.646834144,areas,0.63220245,areas,0.648030576
angle,0.621496561,angle,0.621601769,angle,0.622483912
handful,0.63889276,handful,0.630843449,handful,0.639445209
copies,0.682732022,copies,0.624303551,copies,0.683726625
tense,0.755914868,tense,0.697152405,tense,0.759008346
confusion,0.684847285,confusion,0.64231101,confusion,0.685022116
expressions,0.664789179,expressions,0.63312912,expressions,0.665142034
drunk,0.777914941,drunk,0.619007535,drunk,0.780128668
terror,0.704537178,terror,0.679371959,terror,0.706158251
cruel,0.688349121,cruel,0.606006689,cruel,0.689298404
detailed,0.671646937,detailed,0.663187396,detailed,0.67271507
spin,0.650195789,spin,0.627349784,spin,0.650114143
press,0.689028159,press,0.619203847,press,0.690138089
videos,0.717762715,videos,0.637812941,videos,0.721312913
ironically,0.646222511,ironically,0.638813485,ironically,0.646377761
bodies,0.645474948,bodies,0.602390618,bodies,0.646340758
opera,0.805423359,opera,0.577503619,opera,0.805957452
centers,0.634837653,centers,0.624573991,centers,0.634467292
tribute,0.699762483,tribute,0.65791947,tribute,0.700627263
disbelief,0.700866269,disbelief,0.655246602,disbelief,0.702778817
halfway,0.650287368,halfway,0.645070571,halfway,0.651019972
lifetime,0.628587519,lifetime,0.612849512,lifetime,0.629111044
technology,0.766418769,technology,0.704292645,technology,0.769895008
creation,0.659485044,creation,0.628408648,creation,0.658525986
expensive,0.674712491,expensive,0.636801527,expensive,0.675569057
station,0.610794047,station,0.570336334,station,0.610883537
wake,0.581058067,wake,0.561937023,wake,0.582010149
picking,0.639056404,picking,0.628116469,picking,0.63942604
intentions,0.640921844,intentions,0.612909149,intentions,0.641361103
discussion,0.702914845,discussion,0.660139519,discussion,0.703089989
definite,0.640841419,definite,0.630508801,definite,0.642409099
honor,0.646654972,honor,0.604218886,honor,0.647539997
physically,0.641308261,physically,0.61455052,physically,0.642300725
odds,0.66811148,odds,0.632181706,odds,0.669269117
countless,0.627941785,countless,0.618962222,countless,0.628652749
sea,0.777732097,sea,0.589951367,sea,0.780729392
facial,0.662138514,facial,0.627309801,facial,0.661454989
stereotypes,0.765216487,stereotypes,0.658167456,stereotypes,0.766219306
seller,0.71590533,seller,0.638772035,seller,0.716800896
chick,0.789584596,chick,0.659051849,chick,0.790540184
touched,0.701851001,touched,0.653927265,touched,0.702745835
size,0.644278002,size,0.597174934,size,0.646031748
bob,0.613962708,bob,0.538628447,bob,0.615823356
properly,0.630437381,properly,0.62074547,properly,0.631027942
admire,0.659813719,admire,0.649022032,admire,0.660493042
wars,0.604730836,wars,0.542609163,wars,0.60887782
gradually,0.647813115,gradually,0.638215585,gradually,0.648753113
crying,0.634114312,crying,0.575063884,crying,0.635240791
adventures,0.725037894,adventures,0.66787571,adventures,0.727091232
cars,0.762369051,cars,0.551338055,cars,0.764934158
shut,0.5880708,shut,0.575711085,shut,0.587904577
complain,0.623590508,complain,0.613891708,complain,0.622836329
superbly,0.664421679,superbly,0.647179336,superbly,0.664657766
reaches,0.643783031,reaches,0.63922325,reaches,0.643924126
vivid,0.686809445,vivid,0.664910378,vivid,0.687444727
worn,0.633863328,worn,0.622683149,worn,0.634502954
chief,0.672732008,chief,0.605630283,chief,0.674068847
internet,0.636291929,internet,0.574865269,internet,0.637078057
horribly,0.657408808,horribly,0.648304261,horribly,0.656497119
los,0.809961708,los,0.591796951,los,0.811286502
destroyed,0.678458952,destroyed,0.656148308,destroyed,0.679903004
attraction,0.685801911,attraction,0.626416417,attraction,0.687177105
primary,0.595054007,primary,0.58333711,primary,0.596469786
disagree,0.630843123,disagree,0.61017416,disagree,0.631372034
viewings,0.690340704,viewings,0.644937296,viewings,0.691427132
european,0.733368612,european,0.64176098,european,0.737467718
radio,0.588643126,radio,0.552014781,radio,0.590083017
carrying,0.653111531,carrying,0.644112343,carrying,0.653447343
drink,0.710216684,drink,0.584940865,drink,0.710805496
dropped,0.638472209,dropped,0.630721383,dropped,0.640048726
wrapped,0.642616932,wrapped,0.63501442,wrapped,0.642281825
replaced,0.644503269,replaced,0.619783943,replaced,0.644281995
favourite,0.650447706,favourite,0.631357898,favourite,0.650918618
returning,0.673350821,returning,0.623915934,returning,0.670268826
dollar,0.633288983,dollar,0.590760574,dollar,0.633976866
adapted,0.721588709,adapted,0.665027342,adapted,0.721457671
kudos,0.625329679,kudos,0.605021822,kudos,0.625715314
reasonable,0.540123722,reasonable,0.541367651,reasonable,0.539487506
explore,0.675826202,explore,0.654988775,explore,0.675243266
admittedly,0.629573098,admittedly,0.630057009,admittedly,0.63017732
bomb,0.689872036,bomb,0.623593558,bomb,0.69325233
shortly,0.647687846,shortly,0.64452546,shortly,0.648163076
military,0.797232688,military,0.712249418,military,0.799804755
slick,0.684665303,slick,0.653424553,slick,0.686479401
delivering,0.645674989,delivering,0.63166807,delivering,0.64652063
drugs,0.829850323,drugs,0.63475744,drugs,0.829745595
loaded,0.604371042,loaded,0.593517189,loaded,0.605364851
dolby,0.740174194,dolby,0.65212029,dolby,0.738401852
letter,0.604512874,letter,0.547060826,letter,0.604383485
rescue,0.679693753,rescue,0.622394262,rescue,0.681810551
agent,0.796532732,agent,0.666206433,agent,0.798692003
stronger,0.650581534,stronger,0.633994503,stronger,0.651378584
hoped,0.646555275,hoped,0.625808077,hoped,0.647141039
base,0.6272373,base,0.613995889,base,0.626865353
episodes,0.845806164,episodes,0.569478371,episodes,0.848760541
definition,0.673231099,definition,0.627234848,definition,0.673912612
revelation,0.646050747,revelation,0.642949609,revelation,0.646823806
harry,0.728865154,harry,0.545865236,harry,0.732359206
angles,0.664367023,angles,0.636133902,angles,0.66618757
innocence,0.706304536,innocence,0.615085367,innocence,0.711365912
birth,0.817766473,birth,0.583035263,birth,0.813357202
irritating,0.660242314,irritating,0.638957229,irritating,0.66132956
lazy,0.663777022,lazy,0.638590823,lazy,0.663811568
region,0.651570904,region,0.578298947,region,0.652404886
festival,0.835962642,festival,0.638075738,festival,0.837059194
vast,0.645028876,vast,0.631353243,vast,0.646501991
gentle,0.73352795,gentle,0.657574729,gentle,0.732835568
fat,0.59571704,fat,0.527770483,fat,0.597831973
strike,0.595439228,strike,0.570379351,strike,0.595293115
research,0.728444097,research,0.651807615,research,0.729489249
productions,0.687980354,productions,0.632069141,productions,0.688242164
teach,0.743883458,teach,0.640016568,teach,0.738064389
arts,0.895631144,arts,0.638505126,arts,0.896792448
expert,0.633898454,expert,0.61657493,expert,0.634514015
dislike,0.645820787,dislike,0.629789756,dislike,0.651731324
distance,0.588929543,distance,0.572715325,distance,0.589598469
interaction,0.63658769,interaction,0.617789157,interaction,0.636906773
settings,0.686065312,settings,0.662582248,settings,0.6872305
engaged,0.682096513,engaged,0.625815966,engaged,0.685018064
insightful,0.68180247,insightful,0.652135404,insightful,0.684048809
meaningful,0.65701937,meaningful,0.627555062,meaningful,0.657583542
officer,0.785870069,officer,0.701514595,officer,0.783112094
triumph,0.676769956,triumph,0.639225348,triumph,0.677273827
hired,0.703748692,hired,0.628865386,hired,0.708210958
notably,0.628424737,notably,0.625068755,notably,0.628336051
hitting,0.664202589,hitting,0.649562165,hitting,0.663881326
lonely,0.691628731,lonely,0.615326102,lonely,0.69488445
thumbs,0.617179521,thumbs,0.609989652,thumbs,0.617250518
teacher,0.852700343,teacher,0.556089744,teacher,0.852965031
religious,0.84140064,religious,0.653081757,religious,0.842216945
blind,0.51824211,blind,0.520929798,blind,0.518061424
sucks,0.710451061,sucks,0.654004785,sucks,0.712241704
backdrop,0.668802374,backdrop,0.643271942,backdrop,0.670874094
shop,0.625277607,shop,0.550953841,shop,0.628239846
offensive,0.741731173,offensive,0.655393874,offensive,0.742846853
sun,0.600103671,sun,0.562367512,sun,0.601431021
scenario,0.672809662,scenario,0.65112873,scenario,0.676071584
remaining,0.646901645,remaining,0.628542253,remaining,0.647531341
editor,0.718633642,editor,0.611922251,editor,0.71816669
bare,0.641165416,bare,0.613951486,bare,0.635309241
relevant,0.686006337,relevant,0.641252091,relevant,0.687310879
devoted,0.65072936,devoted,0.640817744,devoted,0.651307095
aka,0.783387075,aka,0.626313787,aka,0.786604076
california,0.800667731,california,0.647859388,california,0.801612977
occur,0.649003084,occur,0.640893488,occur,0.645565868
enemy,0.751792299,enemy,0.698117835,enemy,0.752918861
jones,0.622191716,jones,0.547481372,jones,0.619438843
thrill,0.699429677,thrill,0.669275177,thrill,0.701980909
tales,0.73259325,tales,0.582747781,tales,0.73753508
benefit,0.651276214,benefit,0.639459469,benefit,0.651262316
darker,0.735484395,darker,0.646841499,darker,0.737927815
beings,0.700002418,beings,0.66691685,beings,0.700782427
outrageous,0.717223752,outrageous,0.667996576,outrageous,0.718773245
dramas,0.699166419,dramas,0.678271544,dramas,0.700801229
