Topic,0.852,\textbf{0.431},0.304,0.743,\textbf{0.96},\textbf{0.423},\textbf{0.604},0.326,\textbf{0.961},0.444,\textbf{0.606},0.35,0.944,0.432,0.434,0.429,0.879,0.46,0.318,\textbf{0.835},
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Reuters,D1,,D2,,D3,,DN,,SVM,,Sentiment,D1,,D2,,D3,,DN,,SVM,
,ACC,F1,ACC,F1,ACC,F1,ACC,F1,ACC,F1,,ACC,F1,ACC,F1,ACC,F1,ACC,F1,ACC,F1
PCA,0.847,0.328,0.917,0.413,0.978,0.501,0.978,0.565,0.989,0.761,PCA,0.745,0.705,0.755,0.77,0.778,0.773,\textbf{0.781},\textbf{0.779},\textbf{0.891},\textbf{0.893}
AWV,0.782,0.252,0.971,0.328,0.974,0.417,0.973,0.495,0.987,0.719,AWV,0.642,0.652,0.643,0.694,0.695,0.717,0.66,0.663,0.827,0.829
MDS,0.791,0.263,0.9,0.357,0.979,0.489,0.976,0.522,0.988,0.67,D2V,0.642,0.664,0.66,0.707,0.702,0.7,0.711,0.708,0.878,0.878
D2V,0.818,0.268,0.867,0.298,0.974,0.445,0.971,0.482,0.986,0.724,PPMI,0.616,0.7,0.655,0.719,0.675,0.73,0.712,0.71,0.887,0.888
PPMI,\textbf{0.975},\textbf{0.616},\textbf{0.978},\textbf{0.699},\textbf{0.98},\textbf{0.723},\textbf{0.984},\textbf{0.746},\textbf{0.99},\textbf{0.8},Topic,\textbf{0.793},\textbf{0.79},\textbf{0.794},\textbf{0.791},\textbf{0.81},\textbf{0.811},0.733,0.73,0.815,0.822
Topic,0.92,0.411,0.977,0.527,0.977,0.536,0.977,0.56,0.95,0.513,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Placetypes,D1,,D2,,D3,,DN,,SVM,,Movies,D1,,D2,,D3,,DN,,SVM,
OpenCYC,ACC,F1,ACC,F1,ACC,F1,ACC,F1,ACC,F1,Genres,ACC,F1,ACC,F1,ACC,F1,ACC,F1,ACC,F1
PCA,0.586,0.346,0.708,0.343,0.695,0.342,0.832,0.309,0.847,0.474,PCA,0.722,0.301,0.755,0.339,0.717,0.321,0.884,0.372,\textbf{0.925},0.518
AWV,0.625,\textbf{0.383},0.651,0.376,0.728,\textbf{0.396},\textbf{0.844},\textbf{0.362},0.85,0.466,AWV,0.679,0.29,0.774,0.321,0.756,0.343,0.873,0.312,0.922,0.496
MDS,0.624,0.364,0.7,\textbf{0.397},0.731,0.374,0.843,0.305,0.861,\textbf{0.476},MDS,0.679,0.298,0.79,0.358,0.773,0.354,0.887,0.385,0.875,\textbf{0.532}
PPMI,\textbf{0.728},0.371,0.75,0.351,0.739,0.352,0.843,0.323,\textbf{0.9},0.366,PPMI,\textbf{0.852},\textbf{0.429},\textbf{0.91},0.443,\textbf{0.912},\textbf{0.483},0.882,\textbf{0.416},0.923,0.526
Topic,0.708,0.365,\textbf{0.87},0.271,\textbf{0.87},0.313,0.831,0.313,0.808,0.407,Topic,0.767,0.415,0.905,\textbf{0.472},0.912,0.455,\textbf{0.889},0.415,0.843,0.491
,,,,,,,,,,,,,,,,,,,,,
Foursquare,ACC,F1,ACC,F1,ACC,F1,ACC,F1,ACC,F1,Keywords,ACC,F1,ACC,F1,ACC,F1,ACC,F1,ACC,F1
PCA,0.731,0.342,0.823,0.393,0.86,0.388,0.887,0.398,0.896,0.568,PCA,0.647,0.185,0.644,0.193,0.677,0.199,0.846,0.161,0.787,0.272
AWV,0.767,0.401,0.828,0.478,0.85,0.452,0.905,\textbf{0.505},0.923,\textbf{0.622},AWV,0.5,0.16,0.641,0.179,0.595,0.174,0.853,0.141,0.717,0.23
MDS,\textbf{0.915},0.438,0.804,0.427,0.86,0.454,0.893,0.462,0.932,0.619,MDS,0.633,0.179,0.69,0.198,0.674,0.201,0.84,0.163,0.788,\textbf{0.28}
PPMI,0.889,0.473,0.915,\textbf{0.512},0.904,0.491,0.881,0.31,\textbf{0.938},0.567,PPMI,\textbf{0.818},\textbf{0.243},0.745,\textbf{0.224},0.739,\textbf{0.224},0.847,\textbf{0.17},\textbf{0.921},0.217
Topic,0.864,\textbf{0.488},\textbf{0.916},0.433,\textbf{0.917},\textbf{0.526},\textbf{0.907},0.464,0.916,0.569,Topic,0.629,0.189,\textbf{0.932},0.05,\textbf{0.93},0.075,\textbf{0.857},0.152,0.678,0.21
,,,,,,,,,,,,,,,,,,,,,
Geonames,ACC,F1,ACC,F1,ACC,F1,ACC,F1,ACC,F1,Ratings,ACC,F1,ACC,F1,ACC,F1,ACC,F1,ACC,F1
PCA,0.502,0.301,0.69,0.305,0.68,0.295,0.821,0.243,0.844,0.401,PCA,\textbf{0.65},0.463,0.681,\textbf{0.475},0.684,\textbf{0.486},0.744,0.408,0.771,0.58
AWV,0.657,0.326,0.755,0.323,0.842,\textbf{0.367},0.813,0.332,0.865,\textbf{0.514},AWV,0.601,0.423,0.618,0.433,0.596,0.448,0.736,0.372,0.73,0.532
MDS,0.626,0.349,0.695,\textbf{0.34},0.796,0.272,\textbf{0.845},0.295,0.638,0.397,MDS,0.592,0.437,0.635,0.449,0.631,0.452,\textbf{0.752},\textbf{0.412},0.773,\textbf{0.589}
PPMI,\textbf{0.808},0.361,0.732,0.301,0.76,0.242,0.83,0.283,\textbf{0.894},0.312,PPMI,0.583,0.47,0.635,0.453,0.605,0.453,0.73,0.384,\textbf{0.825},0.536
Topic,0.771,\textbf{0.365},\textbf{0.863},0.3,\textbf{0.85},0.219,0.828,\textbf{0.348},0.819,0.349,Topic,0.575,\textbf{0.473},\textbf{0.789},0.243,\textbf{0.789},0.38,0.739,0.375,0.704,0.501
