,acc,f1,kappa,prec,recall
meet,0.750107311,0.737467118,0.500160184,0.775774826,0.702764647
begin,0.754900558,0.742289755,0.509733467,0.781314331,0.706978077
large,0.738159966,0.724231465,0.476237956,0.763584366,0.688736028
recently,0.75003577,0.739448173,0.499970196,0.769995341,0.711232248
subject,0.767563314,0.759493671,0.535037073,0.784283749,0.736222732
general,0.738517671,0.721862872,0.476784349,0.767351561,0.681465517
forward,0.742667048,0.727272727,0.485078734,0.76957638,0.689377605
events,0.770496494,0.758796992,0.54076434,0.79477083,0.725938714
deserves,0.742738589,0.727658285,0.485153131,0.767780086,0.69152152
nature,0.760123051,0.747572085,0.519940883,0.782876064,0.715314796
rating,0.754757476,0.741204892,0.509134529,0.777601774,0.708062888
violence,0.78244384,0.77317819,0.564622476,0.800339716,0.74779974
city,0.749892689,0.739065532,0.499470392,0.76546073,0.714430014
son,0.749320361,0.737488762,0.498289444,0.766786104,0.710347814
worked,0.745170983,0.727967008,0.489801719,0.772697795,0.688131678
list,0.761625411,0.746036585,0.522732998,0.789609551,0.707021092
needed,0.745886393,0.726937269,0.491125114,0.776609724,0.683236994
present,0.747245672,0.730078692,0.493889579,0.774266731,0.690662041
greatest,0.762054657,0.750037577,0.523672687,0.780663329,0.721724038
directors,0.748247246,0.734354948,0.495980836,0.767919166,0.703601909
offers,0.73994849,0.72539095,0.479352011,0.759051383,0.69458912
forced,0.748032623,0.729907975,0.495372244,0.776472508,0.688612357
believable,0.774717413,0.765472555,0.549028245,0.786381025,0.745647127
earlier,0.738374589,0.72056239,0.47589305,0.760606549,0.68452381
theater,0.757619116,0.740899358,0.514378887,0.781794706,0.704069767
decided,0.756546001,0.741197049,0.512260192,0.776326271,0.70910943
pay,0.743811704,0.723538949,0.48648998,0.77034358,0.68209607
language,0.77307197,0.760133091,0.545402856,0.790003144,0.732439522
dramatic,0.757118329,0.743560692,0.513438534,0.771231589,0.717806621
children,0.778008299,0.764120106,0.555170763,0.797651166,0.733294427
telling,0.74996423,0.732941087,0.498800141,0.767851425,0.701067095
waste,0.764701674,0.75242755,0.528609767,0.775124069,0.731022378
sit,0.744455573,0.726283525,0.487667448,0.762632765,0.693241662
unlike,0.744813278,0.723766747,0.488085703,0.767701659,0.684588339
body,0.753970525,0.738856405,0.506878023,0.76698723,0.712716086
emotional,0.795035055,0.785473605,0.589422801,0.80247858,0.769174366
surprisingly,0.742166261,0.722598522,0.482857039,0.760285066,0.688471693
actress,0.774717413,0.764806931,0.548774534,0.779181251,0.750953359
produced,0.728001145,0.708614347,0.454501026,0.741102918,0.678854626
famous,0.751037344,0.73656321,0.500968744,0.759325737,0.71512568
recent,0.754185148,0.734958346,0.50677667,0.772498784,0.700897455
soundtrack,0.761196165,0.746545178,0.521200383,0.770412161,0.724112535
background,0.743239376,0.723476385,0.484780619,0.758236434,0.691763666
terrific,0.77092574,0.757166692,0.540712857,0.779512804,0.736066057
shots,0.751251967,0.734275888,0.500941538,0.759285601,0.710861202
sounds,0.744384032,0.72118611,0.486468057,0.762289673,0.684288464
setting,0.74853341,0.72838266,0.495060962,0.760529288,0.698843416
break,0.747889541,0.724299797,0.493275623,0.765123967,0.687611408
effect,0.747818,0.724974643,0.493218882,0.76339139,0.690239192
average,0.741737015,0.718408736,0.481000048,0.756157635,0.684249629
truth,0.756832165,0.735958984,0.511420627,0.769993498,0.704805832
powerful,0.786235513,0.773292868,0.571221888,0.788854489,0.758333333
kid,0.766776363,0.75186482,0.532064265,0.768835616,0.735627048
period,0.750465016,0.733496333,0.499115014,0.750117206,0.717596053
hate,0.768564888,0.746969104,0.534560172,0.782915232,0.714178881
front,0.746244098,0.722087284,0.489575294,0.757770104,0.689613888
credits,0.734225211,0.705928916,0.464896108,0.748279913,0.668115073
hell,0.768135642,0.749942134,0.534158704,0.772900763,0.728308107
stupid,0.781799971,0.766068415,0.561796581,0.783004077,0.74984985
rare,0.733366719,0.70989336,0.463831974,0.736910149,0.684787506
moves,0.742309343,0.715211891,0.481098844,0.754965782,0.679435181
rated,0.795035055,0.774852652,0.587433784,0.810988649,0.741799579
extras,0.781299184,0.762045614,0.560125203,0.788117855,0.737643159
situation,0.761696952,0.740798381,0.520708857,0.765765766,0.717407687
missing,0.743811704,0.716041551,0.483820006,0.755269321,0.680687472
inside,0.745314065,0.719109989,0.487065604,0.75397088,0.687330317
success,0.754185148,0.731688271,0.505401253,0.758213303,0.706956391
meets,0.748676492,0.727864281,0.494705443,0.747851003,0.708918062
voice,0.754399771,0.732194399,0.505872171,0.757668712,0.708377358
caught,0.734225211,0.706161512,0.464556159,0.741405082,0.674116581
choice,0.748962656,0.722849696,0.49430981,0.757615894,0.69113427
message,0.773572757,0.755352864,0.544820907,0.772856691,0.738624339
awful,0.765059379,0.745584134,0.527568052,0.763324873,0.728649303
female,0.751895836,0.731662024,0.501158397,0.747982914,0.716038164
waiting,0.734296752,0.706356736,0.464562927,0.738225087,0.677125966
reading,0.764844756,0.742216297,0.526512366,0.768805849,0.717404488
longer,0.745027901,0.716242038,0.485808718,0.754065381,0.682031842
previous,0.747460295,0.719618745,0.490788487,0.754622689,0.687718233
ten,0.737158392,0.709657025,0.470286083,0.739825342,0.681852696
slightly,0.741164687,0.711575255,0.477828142,0.747947042,0.678576859
cover,0.736442982,0.713084112,0.469586169,0.72909699,0.697759488
leading,0.741093146,0.715106668,0.478305582,0.739257813,0.69248361
reasons,0.755615968,0.727852135,0.506891337,0.761841227,0.696766321
audiences,0.765631707,0.744302217,0.528194863,0.76202653,0.727383677
include,0.758763772,0.733775462,0.513632992,0.757457213,0.711529628
country,0.750679639,0.727116122,0.497809161,0.743117798,0.711789054
create,0.753684361,0.726724343,0.502982205,0.751847594,0.703225806
rent,0.774645872,0.753057385,0.54595097,0.767252396,0.739378079
realistic,0.772428101,0.750842015,0.541529611,0.764068229,0.738065907
english,0.786450136,0.766559787,0.569859478,0.77830713,0.755161787
created,0.761339247,0.733588884,0.51793002,0.760430464,0.7085776
focus,0.751395049,0.722643467,0.497862718,0.748140803,0.698826798
business,0.750608098,0.723113582,0.49658632,0.744399019,0.703011583
effective,0.759622264,0.732781931,0.514695767,0.755245902,0.711615694
includes,0.754972099,0.72754753,0.505280174,0.749672131,0.706691392
touch,0.746172557,0.715203082,0.486857414,0.743243243,0.689201733
return,0.754900558,0.728569165,0.505368011,0.746065228,0.711874903
trouble,0.743167835,0.710343715,0.480387652,0.741576819,0.681635181
kill,0.779439119,0.759422552,0.555824779,0.765214656,0.753717472
town,0.761267706,0.737223403,0.518583741,0.747763578,0.726976239
comic,0.776577479,0.753103012,0.549190379,0.766371681,0.740285981
hot,0.753112033,0.725304465,0.501321107,0.742140414,0.709215442
amount,0.752110459,0.718681497,0.497822244,0.75029666,0.689622935
sweet,0.776863643,0.753497194,0.549757128,0.764432328,0.7428705
possibly,0.750965803,0.719929198,0.496154719,0.743807149,0.697536639
evil,0.78888253,0.766700925,0.573976155,0.777083333,0.756592292
pure,0.750250393,0.720115449,0.494939364,0.740112063,0.70117096
depth,0.759193018,0.729334191,0.512761994,0.750455072,0.709369623
loves,0.760194592,0.733290898,0.515575686,0.74611399,0.720901126
commentary,0.773358134,0.746357086,0.541717449,0.763973119,0.729535139
awesome,0.790527973,0.765459789,0.57640426,0.783921247,0.747847864
husband,0.780512234,0.757009346,0.556918769,0.765007203,0.749176987
hero,0.759979969,0.732007349,0.51477789,0.744193601,0.720213769
predictable,0.768851052,0.741250901,0.532506261,0.75497553,0.72801636
attempts,0.742523966,0.708370472,0.478251634,0.730081844,0.687913126
admit,0.762913149,0.729381022,0.518947969,0.757462687,0.703307087
rich,0.753183574,0.723690533,0.500760142,0.734156646,0.713518636
successful,0.751824295,0.720129084,0.497369418,0.735255354,0.705612648
fight,0.761625411,0.728443358,0.516376115,0.75134499,0.706896552
god,0.761196165,0.729585224,0.515983654,0.747013935,0.712951235
meant,0.756760624,0.721174348,0.505949846,0.747789116,0.696388977
members,0.758262985,0.72900794,0.51088898,0.738424045,0.719828952
hilarious,0.803119187,0.778955823,0.601538629,0.789996742,0.768219265
total,0.748247246,0.713459816,0.489245913,0.73297641,0.694955584
horrible,0.781585348,0.755662265,0.558219193,0.761574447,0.749841169
odd,0.747674918,0.714528531,0.488592416,0.728022431,0.701525747
filmmakers,0.762698526,0.735380933,0.520290118,0.738148623,0.732633921
shame,0.738231507,0.700303055,0.468321979,0.72225038,0.679650238
talented,0.757547575,0.72596426,0.508676578,0.738322368,0.714013043
presence,0.74424095,0.706654632,0.480324269,0.729089062,0.685559624
missed,0.748390328,0.711366434,0.488716642,0.733333333,0.690677291
sequence,0.756045214,0.724555735,0.505703263,0.734643735,0.714741036
die,0.754542853,0.721351417,0.502155631,0.735021516,0.708180513
pictures,0.746315639,0.712035082,0.485471762,0.725227461,0.699314085
cinematic,0.767062527,0.737757732,0.528269129,0.74495771,0.730695597
impressive,0.754542853,0.718562874,0.501234192,0.739365294,0.698898995
track,0.75575905,0.720255654,0.503750513,0.738283219,0.703087506
spent,0.743024753,0.704944965,0.477618846,0.723852901,0.68699968
product,0.756975247,0.723888482,0.506957004,0.734939759,0.713164638
heavy,0.744169409,0.707556428,0.48036829,0.722686268,0.6930471
pace,0.748891115,0.709773441,0.488890967,0.733299163,0.687710303
share,0.752325082,0.717018146,0.496950737,0.730512991,0.704012841
key,0.759407641,0.720286118,0.509699075,0.747324819,0.695135656
era,0.778938332,0.754176611,0.553382521,0.746574264,0.76193538
popular,0.752325082,0.720851476,0.498275831,0.723066969,0.718649518
remains,0.754829017,0.720222059,0.502102872,0.729573272,0.711107529
tone,0.754256689,0.719660491,0.500967012,0.728278824,0.711243749
aspect,0.750894262,0.712088639,0.492795728,0.729706829,0.695301146
issues,0.76799256,0.734854059,0.528669293,0.743301356,0.726596605
involving,0.749105738,0.709565217,0.488964077,0.727211,0.692755498
immediately,0.752038918,0.71193484,0.49456324,0.732011622,0.692929947
agree,0.757976821,0.722135524,0.507851478,0.733277731,0.711326861
delivers,0.767420232,0.731832055,0.52663761,0.746298789,0.71791552
pick,0.752539705,0.713302942,0.495849157,0.730684327,0.696729275
oscar,0.789955645,0.758869908,0.57287891,0.769871688,0.748178138
likes,0.743668622,0.703663882,0.477992275,0.718581081,0.689353427
presented,0.754185148,0.718913613,0.500540221,0.725801123,0.712155592
cheap,0.758692231,0.725883787,0.51037254,0.727598566,0.724177072
fully,0.753684361,0.714392368,0.498060263,0.73094551,0.698572356
date,0.765059379,0.726515656,0.520849435,0.746278871,0.707772189
credit,0.751538131,0.709153337,0.492683286,0.732652708,0.687114573
potential,0.749821148,0.709527369,0.490041323,0.726731326,0.693119117
incredible,0.766776363,0.730978709,0.525247582,0.743495048,0.718876806
ability,0.754042066,0.714546662,0.498662885,0.730436259,0.699333658
crazy,0.76005151,0.722993062,0.511447512,0.734395973,0.711938842
sees,0.75575905,0.719796454,0.50335878,0.725272908,0.714402085
beautifully,0.786807841,0.758626276,0.567741176,0.753136057,0.764197128
places,0.739304622,0.696535643,0.468208369,0.710982659,0.682664055
fit,0.755186722,0.711467116,0.499266676,0.735658239,0.688816327
premise,0.771140363,0.736556041,0.534281905,0.743104021,0.730122449
leaving,0.746530262,0.70339054,0.482347152,0.721449425,0.686213656
company,0.735155244,0.695007415,0.460998315,0.700780861,0.689328322
weak,0.74710259,0.706955152,0.484610643,0.717241379,0.696959791
wrote,0.741093146,0.7021154,0.473176409,0.705658504,0.698607699
killed,0.783803119,0.753426893,0.560948986,0.750243744,0.756637168
outstanding,0.77951066,0.745709571,0.551103947,0.750539777,0.740941138
terms,0.752611246,0.710772834,0.494794925,0.725085324,0.697014436
extra,0.76005151,0.718765722,0.509698497,0.734407128,0.703776683
addition,0.752468164,0.710363302,0.494390664,0.724432303,0.69683035
standard,0.749821148,0.705118475,0.488132375,0.724108071,0.687099425
war,0.781943053,0.744338198,0.554367629,0.759110351,0.730129998
details,0.765631707,0.726635514,0.521597116,0.736966825,0.716589862
received,0.777292889,0.745316207,0.547465082,0.740770857,0.749917682
state,0.752468164,0.708852238,0.49375018,0.724707502,0.693675889
game,0.765059379,0.725004187,0.520034014,0.737353091,0.713062099
puts,0.748318787,0.70347269,0.485045593,0.719606829,0.688046167
write,0.751180426,0.709682805,0.492030342,0.717831814,0.701716738
romantic,0.786092431,0.753259614,0.564474059,0.752018454,0.754504877
incredibly,0.749320361,0.704004055,0.486772789,0.719068162,0.689558166
spend,0.749534984,0.705921882,0.487886705,0.716453538,0.695695364
force,0.761625411,0.71862861,0.511989544,0.732988803,0.704820275
honest,0.752968951,0.712704884,0.496046653,0.715861608,0.709575878
common,0.75003577,0.703998645,0.487871611,0.720353675,0.688369781
bunch,0.765917871,0.729497354,0.523194133,0.727812603,0.731189924
expecting,0.754614394,0.711036226,0.497900272,0.722479028,0.699950241
minor,0.742595507,0.696320054,0.473069949,0.708641127,0.68442011
daughter,0.749534984,0.709966034,0.489574824,0.707329152,0.712622651
visual,0.776219774,0.735944623,0.541837933,0.745765612,0.726378937
beauty,0.773501216,0.737913907,0.538509578,0.732938661,0.74295716
clever,0.776720561,0.739286609,0.544042117,0.740585774,0.737991995
appeal,0.743668622,0.698882259,0.475763435,0.7043876,0.693462308
compelling,0.776935184,0.742739274,0.545887344,0.734737186,0.750917584
car,0.767706396,0.729934293,0.526147576,0.727453581,0.732431981
smart,0.773429675,0.73384318,0.536621971,0.73849797,0.729246701
edge,0.766132494,0.723364644,0.520872179,0.732978906,0.713999332
dull,0.745027901,0.699898956,0.478278322,0.705123855,0.694750919
ridiculous,0.765345543,0.727710443,0.521571016,0.722313777,0.733188357
america,0.753255115,0.71408439,0.49710293,0.707573517,0.720716198
mentioned,0.755973673,0.712564254,0.500569989,0.716974733,0.708207705
editing,0.75718987,0.71560248,0.503768752,0.71560248,0.71560248
worthy,0.754399771,0.707306676,0.495846421,0.719264782,0.695739685
offer,0.740950064,0.689956332,0.467660547,0.704616999,0.675893306
adds,0.754399771,0.70478975,0.494749888,0.722878815,0.687583893
sadly,0.735727572,0.686311141,0.45805415,0.694091378,0.678703393
added,0.760981542,0.713685834,0.508679169,0.727463312,0.700420521
sequences,0.766847904,0.723274178,0.521871138,0.730156009,0.716520861
younger,0.756116755,0.715276038,0.502009425,0.70976297,0.720875421
decides,0.753469738,0.715159531,0.49798261,0.702386751,0.728405455
biggest,0.759908428,0.713700734,0.507033962,0.723076923,0.704564595
television,0.752754328,0.710601239,0.494803769,0.7063426,0.714911542
generally,0.743096294,0.691256126,0.471443111,0.705634544,0.677451972
romance,0.77450279,0.737464601,0.539907025,0.727885564,0.747299122
provide,0.746816426,0.698166311,0.48016675,0.705446398,0.691034949
meaning,0.75862069,0.712508521,0.504521877,0.718878955,0.70625
office,0.77164115,0.731448763,0.532826002,0.727896852,0.735035509
ended,0.754829017,0.705811658,0.495735958,0.716451725,0.695482998
respect,0.755830591,0.709259733,0.498818002,0.71406518,0.704518531
annoying,0.763628559,0.718281037,0.514698638,0.723214286,0.713414634
horror,0.813635713,0.772150792,0.614763455,0.797614745,0.748262417
finding,0.741522392,0.689951086,0.468384931,0.697916667,0.682165281
convincing,0.755329804,0.709726702,0.49827632,0.709365456,0.710088315
trailer,0.772213478,0.729986431,0.533007142,0.728380437,0.731599524
exciting,0.764844756,0.718216888,0.516472981,0.724239281,0.712293828
buying,0.775862069,0.73192436,0.5393604,0.736144578,0.727752255
fresh,0.756546001,0.709070702,0.499774838,0.711320755,0.706834839
barely,0.748032623,0.695802384,0.480822744,0.705182073,0.68666894
subtle,0.767062527,0.722657581,0.52186888,0.721674039,0.723643808
public,0.760552296,0.718147368,0.510075184,0.708894431,0.727645051
included,0.775361282,0.732447171,0.538861189,0.730579636,0.734324278
ride,0.764916297,0.718471556,0.516681324,0.720570545,0.71638476
basic,0.751395049,0.699420465,0.487522448,0.708304135,0.690756877
flat,0.753898984,0.705075446,0.493932716,0.70738001,0.702785849
mix,0.752611246,0.701330109,0.490234553,0.708922647,0.693898479
reviewers,0.763342395,0.717409875,0.513840737,0.71704235,0.717777778
mood,0.760480755,0.712913737,0.507442689,0.71512128,0.710719781
control,0.755115181,0.70549772,0.495933934,0.709588093,0.701454234
literally,0.753684361,0.702497192,0.49236984,0.708929194,0.696180853
thinks,0.752539705,0.702502795,0.490677526,0.705475903,0.699554642
portrayed,0.774002003,0.730851154,0.536092577,0.726333616,0.73542524
development,0.768421806,0.720345572,0.522755928,0.725548207,0.715217018
masterpiece,0.768278724,0.723422423,0.524046126,0.719918423,0.7269607
knowing,0.753684361,0.69932757,0.490812379,0.710559006,0.688445667
fails,0.751681213,0.703307975,0.48981347,0.699065421,0.707602339
air,0.757619116,0.706666667,0.500168343,0.710727969,0.702651515
tough,0.765488625,0.718433259,0.517503535,0.716709512,0.720165318
blood,0.785734726,0.741118506,0.558354868,0.743496358,0.738755816
fair,0.750250393,0.695295453,0.48376429,0.704207921,0.686605758
inspired,0.756975247,0.710721281,0.501251627,0.702170621,0.719482759
quick,0.759622264,0.707927677,0.503721354,0.713884993,0.702068966
engaging,0.764844756,0.717684446,0.516194333,0.714798973,0.720593308
intelligent,0.765774789,0.719066415,0.518242548,0.715139102,0.723037101
purchase,0.778723709,0.736743553,0.545963442,0.726662189,0.747108579
considered,0.742738589,0.690533563,0.470409852,0.688400824,0.692679558
opportunity,0.735369867,0.680983182,0.454898025,0.679752066,0.682218766
speak,0.748247246,0.696297575,0.481324081,0.693484614,0.699133449
avoid,0.746530262,0.695435399,0.478405556,0.689684569,0.70128294
stands,0.75146659,0.69770275,0.486700435,0.699895251,0.695523942
situations,0.75647446,0.707710802,0.499043741,0.700373895,0.715203054
song,0.772141937,0.724742892,0.530364742,0.721438403,0.728077791
parents,0.777006725,0.730479896,0.540326107,0.726147499,0.734864301
impossible,0.746029475,0.689141856,0.474465153,0.692050651,0.686257412
content,0.760194592,0.71078516,0.506014312,0.702901024,0.718848168
alive,0.75361282,0.700208914,0.491078805,0.698263889,0.702164804
fascinating,0.782086135,0.739747095,0.552475799,0.724034119,0.756157205
manner,0.750608098,0.696869565,0.485041734,0.693252595,0.700524476
ideas,0.75647446,0.70446258,0.497397577,0.699724043,0.709265734
stage,0.75361282,0.699790795,0.490864413,0.697601668,0.701993704
decide,0.742595507,0.687021573,0.468445613,0.682745505,0.691351541
holds,0.750965803,0.695477211,0.484826903,0.69493007,0.696025214
catch,0.74710259,0.688628556,0.475721906,0.691613588,0.685669181
portrayal,0.780512234,0.73633551,0.548475508,0.721819714,0.751447115
helps,0.742953212,0.684076321,0.467409466,0.685100387,0.683055312
male,0.752539705,0.70152731,0.490304798,0.689099847,0.714411248
natural,0.752110459,0.698091836,0.487856395,0.691524253,0.704785362
girls,0.776720561,0.727827679,0.538597127,0.719110805,0.736758475
process,0.750822721,0.692504635,0.483052064,0.691466855,0.693545535
changed,0.762626985,0.709406201,0.508819963,0.701541659,0.71744907
equally,0.75146659,0.693380406,0.484435867,0.690698083,0.696083643
society,0.773501216,0.727068966,0.533765229,0.707075788,0.748225692
charm,0.770496494,0.723066298,0.527380386,0.703510835,0.743740011
century,0.778151381,0.730652306,0.5422338,0.714091681,0.747999289
cold,0.7593361,0.701878766,0.500109457,0.698905754,0.70487718
pass,0.744813278,0.681659973,0.468718484,0.682817808,0.680506058
dream,0.751681213,0.695499605,0.485959539,0.684037964,0.707351892
casting,0.772928888,0.717716115,0.52780116,0.714032915,0.721437511
image,0.753684361,0.695282768,0.488623989,0.687795482,0.70293486
directing,0.75647446,0.700246566,0.495278953,0.688962052,0.711906893
michael,0.730719702,0.669418584,0.442409363,0.656503015,0.682852535
social,0.769280298,0.718807219,0.523445465,0.699711424,0.738974543
conclusion,0.755258263,0.694471734,0.49034913,0.691445847,0.69752422
states,0.780512234,0.729929577,0.545188971,0.715691352,0.744745824
proves,0.75718987,0.698257468,0.495157393,0.691129884,0.705533597
adult,0.769280298,0.718119046,0.523086153,0.699115044,0.738185085
bottom,0.761053083,0.700877664,0.501953982,0.69837587,0.703397447
personally,0.765703248,0.7080845,0.512432703,0.702263083,0.714003236
folks,0.754542853,0.69483234,0.489595526,0.686346863,0.703530259
red,0.732937473,0.670200548,0.445967458,0.657251776,0.683669791
rarely,0.74567177,0.684700665,0.471688578,0.673177537,0.696625158
concept,0.764200887,0.707697765,0.510200013,0.695364238,0.720476706
pull,0.764630133,0.702208545,0.507627374,0.70360965,0.700813008
pieces,0.763628559,0.703942652,0.507263312,0.696824552,0.711207677
treat,0.74567177,0.684084244,0.471383113,0.671025105,0.697661773
fear,0.767634855,0.709792709,0.516110224,0.699788584,0.72008702
brother,0.739876949,0.682278923,0.462558214,0.658569501,0.707759246
complex,0.7752182,0.721206744,0.533057891,0.705678069,0.737434222
laughs,0.805837745,0.757418663,0.595622145,0.7463449,0.768825984
musical,0.770711117,0.712530272,0.521882421,0.704005672,0.721263846
boys,0.763342395,0.707980226,0.509302118,0.688648463,0.728428701
opens,0.764916297,0.706921156,0.510778086,0.694410373,0.719891008
mark,0.73701531,0.662999633,0.447404083,0.66925782,0.656857402
james,0.750321934,0.691205096,0.481893567,0.673332184,0.710052718
street,0.751251967,0.691946487,0.483621151,0.673391964,0.711552478
critics,0.774788954,0.716906475,0.529982682,0.707364685,0.726709207
narrative,0.772642724,0.718910313,0.528335943,0.697682403,0.741470535
twist,0.766490199,0.706580367,0.51273401,0.69631467,0.717153285
compared,0.758906854,0.695132984,0.495782148,0.688160487,0.702248218
appearance,0.745886393,0.682346629,0.470752866,0.668009105,0.697313105
questions,0.775432823,0.717588844,0.531282343,0.705965658,0.729601171
color,0.763771641,0.703803373,0.507481191,0.689940204,0.718235079
project,0.74638718,0.682887557,0.471778229,0.667307692,0.69921231
suddenly,0.752325082,0.688444924,0.483017905,0.676512204,0.700806156
themes,0.769709544,0.715560661,0.522511342,0.690955631,0.741982774
lovely,0.759765346,0.701882102,0.501048001,0.680261573,0.724922061
team,0.765345543,0.702251271,0.50867121,0.69406065,0.710637516
studio,0.757261411,0.699548393,0.496371303,0.675098274,0.72583609
amusing,0.770782658,0.714997331,0.523637652,0.692572807,0.738922596
approach,0.747603377,0.685729556,0.475193201,0.664996545,0.707796984
notice,0.758978395,0.691059147,0.493479571,0.688596491,0.693539481
escape,0.756760624,0.693748874,0.492180586,0.678709905,0.709469418
pleasure,0.751251967,0.686446028,0.480454658,0.672319378,0.701179071
finish,0.755830591,0.689360153,0.488277229,0.681115108,0.69780726
detail,0.771569609,0.710227788,0.521787719,0.698874799,0.72195572
surprising,0.745457147,0.679978413,0.468902711,0.662925289,0.697932053
intended,0.749177279,0.67975886,0.473659931,0.672510392,0.687165282
hoping,0.755115181,0.686509754,0.485616997,0.680835604,0.692279276
lacks,0.754542853,0.689642696,0.486788648,0.675287865,0.704621072
aspects,0.765274002,0.703157514,0.509192578,0.688640794,0.718299445
condition,0.76942338,0.712360553,0.520385771,0.687155647,0.739484899
tired,0.763628559,0.696658098,0.503061911,0.690194652,0.703243744
soul,0.769208757,0.71015274,0.518733305,0.688741722,0.732937685
ready,0.751752754,0.684488089,0.480002312,0.670944742,0.698589458
plain,0.752754328,0.68627451,0.482428185,0.671283964,0.701949861
disc,0.80118758,0.746742003,0.583201773,0.733047057,0.760958395
documentary,0.810702533,0.755813953,0.601269649,0.750687443,0.761010965
spirit,0.764272428,0.704934181,0.509117009,0.679910174,0.731870584
loud,0.767921019,0.70748422,0.515433605,0.68679972,0.729453328
thrown,0.752754328,0.683458509,0.480716464,0.671889069,0.695433364
win,0.770854199,0.706872884,0.518884372,0.694229732,0.719985086
putting,0.752182,0.678007065,0.476598479,0.674246626,0.681809684
values,0.73343826,0.665529623,0.444560699,0.63957902,0.69367515
motion,0.756546001,0.689818613,0.489723449,0.671040965,0.709677419
slowly,0.761840034,0.694503074,0.499505505,0.679841897,0.709810542
atmosphere,0.780726856,0.720423242,0.54028743,0.70079858,0.741178679
earth,0.770782658,0.706162876,0.518428903,0.690335306,0.722733246
theatrical,0.762483903,0.702348933,0.50542376,0.671984903,0.735586854
genuine,0.750321934,0.685074896,0.478772838,0.659256686,0.712997746
weird,0.780154529,0.721168678,0.540064133,0.697192982,0.746852095
hair,0.749391902,0.68076187,0.474828332,0.660127253,0.702728128
seemingly,0.755615968,0.685451197,0.48580871,0.670147641,0.701470034
held,0.751323508,0.677251625,0.475079835,0.666483918,0.688372971
plan,0.760409214,0.693286931,0.496996862,0.673367728,0.714420536
nicely,0.75146659,0.677796327,0.475624827,0.66557377,0.69047619
mess,0.772642724,0.709665631,0.523173671,0.686825818,0.734076734
secret,0.761196165,0.69126896,0.496708908,0.676870132,0.706293706
wide,0.745600229,0.675488228,0.466700582,0.652848827,0.699754207
producers,0.756760624,0.687097368,0.488379134,0.669356285,0.7058045
touching,0.789240235,0.731057148,0.558129633,0.706422018,0.757472569
party,0.741737015,0.671160503,0.459039513,0.646542647,0.697727273
suggest,0.75003577,0.676720947,0.473140247,0.661541245,0.692613636
tension,0.786593218,0.724739319,0.550682458,0.706294964,0.744172825
drawn,0.76298469,0.692927982,0.500093042,0.678033738,0.708491281
taste,0.753541279,0.681578704,0.480754341,0.66504329,0.698957346
exception,0.757762198,0.685432925,0.488609786,0.671948998,0.699469094
charming,0.791744169,0.733498123,0.562928472,0.709026549,0.759719325
wonderfully,0.771569609,0.707359545,0.520410157,0.683371702,0.733092705
double,0.747603377,0.677749361,0.470838144,0.652250352,0.705323194
producer,0.735441408,0.665036232,0.447239337,0.634901418,0.698174211
difference,0.76298469,0.689357712,0.497817236,0.679733728,0.699258132
post,0.744884819,0.672844037,0.464238412,0.648796886,0.698742378
culture,0.78101302,0.721651359,0.541778863,0.690086957,0.756241662
support,0.758048362,0.690915738,0.492694988,0.663507109,0.720686368
award,0.769995708,0.703604683,0.516024262,0.681185291,0.727550048
store,0.747531836,0.680488909,0.472684052,0.647819341,0.716628528
showed,0.759908428,0.690405904,0.494673364,0.66857245,0.713713523
writers,0.764343969,0.694320713,0.502818266,0.675880759,0.713795077
walk,0.750178852,0.673156121,0.471096138,0.660665074,0.686128601
sexual,0.793532694,0.736245659,0.567112669,0.706542712,0.768555619
faces,0.733795965,0.653957035,0.437887355,0.637649619,0.671120443
david,0.720417799,0.643820634,0.414494698,0.615974887,0.674303169
fire,0.747818,0.671267369,0.466896826,0.65603354,0.687225511
vhs,0.798898269,0.745817886,0.580241594,0.707982833,0.787925105
lived,0.75862069,0.69293775,0.494831158,0.661511729,0.727498567
hasnt,0.761410788,0.689911669,0.496271023,0.671250226,0.709640398
werent,0.761696952,0.686376047,0.494298049,0.675750834,0.697340731
wild,0.75647446,0.68839253,0.489145135,0.65988066,0.719479525
lady,0.743310917,0.677280086,0.465472394,0.638785205,0.720712098
drive,0.753255115,0.679847768,0.479434227,0.659582133,0.7013982
ground,0.752038918,0.67829961,0.476892111,0.657904213,0.7
stunning,0.782658463,0.717184882,0.540930059,0.69744704,0.738072428
ahead,0.760194592,0.686611818,0.492591359,0.670317634,0.7037179
central,0.750822721,0.680663794,0.477026387,0.651799824,0.712202609
hits,0.760766919,0.688408498,0.494537318,0.668597285,0.709429614
born,0.743954786,0.673776319,0.463959878,0.641110147,0.709950058
step,0.755258263,0.678568073,0.481126403,0.663908807,0.693889316
featuring,0.747245672,0.674887273,0.468754049,0.647422316,0.704785701
positive,0.756116755,0.684789644,0.486373246,0.659836066,0.711704786
audio,0.807483188,0.748292957,0.592628449,0.727802038,0.769971126
impressed,0.768278724,0.69788266,0.510252139,0.676614216,0.720531587
suspense,0.822149091,0.764806055,0.621893291,0.751161494,0.778955483
mystery,0.787094005,0.719721228,0.548218853,0.703683241,0.736507325
beat,0.749892689,0.675032534,0.472173755,0.651768085,0.700019279
cute,0.793818858,0.730351796,0.563698597,0.708991826,0.753038781
