,acc,f1,kappa,prec,recalls
meet,0.599656603,0.592899753,0.199283831,0.602365115,0.58372726
begin,0.604378309,0.588847584,0.208672699,0.611961057,0.567416535
large,0.603949063,0.572245403,0.207715245,0.620892019,0.530667813
recently,0.597939619,0.57203777,0.195633809,0.609641292,0.538803615
subject,0.644584347,0.639947819,0.2891201,0.646412884,0.633610792
general,0.603519817,0.568850163,0.206523793,0.620291822,0.525287356
forward,0.588853913,0.563728839,0.177291201,0.597329472,0.533707058
events,0.637430248,0.630827506,0.274740881,0.638925778,0.622931952
deserves,0.597152668,0.58130716,0.193967816,0.601199631,0.56268893
nature,0.616969524,0.60965296,0.233777916,0.617121771,0.602362772
rating,0.612319359,0.590245747,0.224018646,0.620311507,0.562959758
violence,0.66862212,0.656379822,0.336897799,0.675522981,0.638291733
city,0.594291029,0.587653603,0.18841933,0.592261469,0.583116883
son,0.612748605,0.592854457,0.22490406,0.61907006,0.568768942
worked,0.595721849,0.568593022,0.190591837,0.603272315,0.537684089
list,0.607239948,0.576846,0.213469016,0.618307997,0.540595204
needed,0.605308342,0.584344157,0.209906853,0.610420274,0.560404624
present,0.60659608,0.588305757,0.212562643,0.610187917,0.567938711
greatest,0.624409787,0.599175447,0.247889947,0.63454075,0.567544113
directors,0.606238375,0.597189696,0.212185017,0.60435491,0.590192391
offers,0.601158964,0.587128786,0.201817149,0.601426187,0.57349537
forced,0.612533982,0.609742038,0.225040739,0.607291517,0.612212415
believable,0.643654314,0.655556324,0.288128547,0.626238605,0.687753918
earlier,0.608742309,0.582996569,0.216249741,0.613939297,0.555023229
theater,0.61453713,0.585474688,0.227572944,0.621935273,0.553052326
decided,0.606238375,0.573267173,0.210656007,0.613508131,0.53798021
pay,0.596294177,0.565822882,0.190889201,0.60013057,0.535225619
language,0.623765918,0.62470563,0.247848642,0.612082226,0.637860682
dramatic,0.638074116,0.640312833,0.276576368,0.624722531,0.656701181
children,0.639433395,0.609604957,0.277002463,0.649768824,0.574117304
telling,0.612462441,0.600545682,0.224292642,0.605952381,0.595234615
waste,0.616111032,0.597992209,0.231078333,0.612962679,0.583735557
sit,0.611747031,0.584996559,0.221670475,0.612882551,0.559537741
unlike,0.601802833,0.571318546,0.201391079,0.602305943,0.54336361
body,0.618257261,0.591674319,0.234606591,0.619352772,0.566363903
emotional,0.668335957,0.665125686,0.336755012,0.655373665,0.675172313
surprisingly,0.612033195,0.589322226,0.222427675,0.6092062,0.570695219
actress,0.645800544,0.644248042,0.291873778,0.631497394,0.657524201
produced,0.600515095,0.562998904,0.198029598,0.602714477,0.528193833
famous,0.615753327,0.586750789,0.229173159,0.615595738,0.56048802
recent,0.614966376,0.585808835,0.227527951,0.614168146,0.55995292
soundtrack,0.613320933,0.594249681,0.225192059,0.605939988,0.583001915
background,0.610602375,0.594924462,0.220111415,0.601052632,0.588919994
terrific,0.622764344,0.614180142,0.245196022,0.609586057,0.618843999
shots,0.603591358,0.583289464,0.205491914,0.593057042,0.573838414
sounds,0.608885391,0.57728292,0.214701299,0.604045307,0.552791352
setting,0.611460867,0.59701714,0.221922658,0.597504827,0.596530249
break,0.597438832,0.579415502,0.193426311,0.583120205,0.575757576
effect,0.619044212,0.591797624,0.235362279,0.61133988,0.573466053
average,0.610602375,0.576057325,0.217553792,0.605336389,0.549479941
truth,0.626985263,0.611880304,0.252839094,0.612244898,0.611516143
powerful,0.674488482,0.671005061,0.349410489,0.652601969,0.69047619
kid,0.633066247,0.591151853,0.261316683,0.635911507,0.55227882
period,0.632780083,0.597569581,0.261373021,0.628255852,0.569741366
hate,0.607955358,0.582062233,0.213162786,0.593837535,0.57074484
front,0.60015739,0.567782847,0.19657812,0.587453993,0.549386411
credits,0.609815424,0.578059725,0.215904212,0.597568778,0.559784237
hell,0.629417656,0.599133261,0.255270083,0.619459113,0.580098906
stupid,0.658177135,0.634094042,0.313622045,0.647077212,0.621621622
rare,0.608885391,0.582576162,0.214848049,0.592575334,0.572908845
moves,0.599942767,0.575656397,0.197332306,0.581659255,0.569776175
rated,0.633137788,0.615937687,0.264814586,0.613182225,0.618718026
extras,0.61167549,0.581043532,0.219577863,0.59556962,0.567209162
situation,0.617327229,0.615539424,0.236254088,0.588348447,0.645365486
missing,0.607669194,0.566207879,0.209693681,0.59560659,0.539574853
inside,0.601445128,0.571032571,0.199170439,0.583294007,0.559276018
success,0.608956932,0.580635262,0.214525943,0.590604027,0.570997435
meets,0.620188868,0.605952646,0.239571852,0.59626059,0.615964992
voice,0.623408213,0.577595892,0.240294603,0.616583862,0.543245283
caught,0.606882244,0.568579728,0.208567384,0.59215045,0.546813651
choice,0.602375161,0.573445894,0.201260116,0.582930254,0.564265217
message,0.630562312,0.619510757,0.260943545,0.604283456,0.635525321
awful,0.619044212,0.587752574,0.234007091,0.601298907,0.57480315
female,0.592717127,0.571858314,0.183530902,0.567971318,0.575798879
waiting,0.597009586,0.561053534,0.189119038,0.577293137,0.545702592
reading,0.612963228,0.579903712,0.22149811,0.594396689,0.566100667
longer,0.598511947,0.561219703,0.191848069,0.579338176,0.544200152
previous,0.61024467,0.561564462,0.213041235,0.597533824,0.529679672
ten,0.610101588,0.56316127,0.213056615,0.59633339,0.533485194
slightly,0.613177851,0.580755214,0.221965423,0.592563291,0.569408545
cover,0.595864931,0.558084957,0.186261034,0.573288332,0.543667124
leading,0.611246244,0.58244967,0.218820252,0.587141751,0.577831987
reasons,0.607526112,0.570802691,0.209706944,0.585929971,0.556436852
audiences,0.622621262,0.597174494,0.242219445,0.597859327,0.596491228
include,0.608169981,0.563133126,0.209049786,0.587745588,0.540499158
country,0.61596795,0.586440678,0.228017806,0.589437819,0.583473862
create,0.619902704,0.5816206,0.233794492,0.596703829,0.567281106
rent,0.628201459,0.604760818,0.253872636,0.597625132,0.612068966
realistic,0.629989984,0.622150789,0.26151413,0.591882124,0.655682168
english,0.616325655,0.577683282,0.22648774,0.590755355,0.565177196
created,0.626341394,0.584916157,0.245730667,0.603179807,0.56772601
focus,0.624552869,0.600365519,0.246464916,0.592425609,0.608521149
business,0.603662899,0.582328106,0.205654042,0.568861393,0.596447876
effective,0.634568608,0.6110265,0.266577691,0.602583358,0.619709608
includes,0.611532408,0.569321066,0.215981023,0.584813427,0.554628342
touch,0.613607097,0.585526821,0.22369312,0.580934978,0.590191832
return,0.615395622,0.56833146,0.222404645,0.590325271,0.547917634
trouble,0.614107884,0.576941176,0.222323312,0.584551812,0.569526169
kill,0.686435828,0.657658361,0.368447385,0.663305499,0.652106568
town,0.57561883,0.557115126,0.150912599,0.536448598,0.579437801
comic,0.692016025,0.659710695,0.378581196,0.671224063,0.648585639
hot,0.609600801,0.579032631,0.215116187,0.57394097,0.584215442
amount,0.613964802,0.565609403,0.218936102,0.585109927,0.547366781
sweet,0.649592216,0.620780427,0.295139932,0.616864133,0.624746766
possibly,0.608313063,0.559356137,0.207502351,0.578106804,0.541783598
evil,0.672485334,0.646158603,0.341373215,0.640220554,0.652207833
pure,0.608026899,0.561223673,0.207459479,0.576126274,0.5470726
depth,0.628416082,0.610001502,0.256251371,0.586570397,0.63538245
loves,0.622692803,0.596850634,0.242617833,0.583557549,0.610763454
commentary,0.604306768,0.557555396,0.199995401,0.570189791,0.545468774
awesome,0.631420804,0.584917821,0.253989572,0.60268969,0.568164032
husband,0.608456145,0.597543937,0.219164823,0.562742382,0.636933689
hero,0.656817857,0.606771047,0.303333877,0.634058592,0.581735303
predictable,0.634926313,0.619831632,0.270579327,0.588734786,0.654396728
attempts,0.610888539,0.575906433,0.216500992,0.570700046,0.581208687
admit,0.616111032,0.572906718,0.224358241,0.579176054,0.566771654
rich,0.613249392,0.592614921,0.225967821,0.566733929,0.620972836
successful,0.617112606,0.587037037,0.230522351,0.573323286,0.601422925
fight,0.649520675,0.580241625,0.282984206,0.633015517,0.535590003
god,0.606381457,0.557503619,0.203200841,0.566525008,0.548765041
meant,0.611961654,0.562439497,0.214072693,0.573166721,0.55210643
members,0.603448276,0.558361884,0.198568219,0.561808562,0.554957238
hilarious,0.712762913,0.672805802,0.417206066,0.69273368,0.653992395
total,0.599513521,0.544136808,0.187484497,0.559069612,0.529980964
horrible,0.627843754,0.581832797,0.24665615,0.589029948,0.574809403
odd,0.612677064,0.571541627,0.218158292,0.569199243,0.573903369
filmmakers,0.622335098,0.584821077,0.238522236,0.578767123,0.59100302
shame,0.595149521,0.538681014,0.178400665,0.552785678,0.525278219
talented,0.617613392,0.601089634,0.2365763,0.566226097,0.640528074
presence,0.617041065,0.575327251,0.226627716,0.573371284,0.577296609
missed,0.608241522,0.561288255,0.207423295,0.564362816,0.558247012
sequence,0.63041923,0.581497084,0.250762758,0.591365958,0.571952191
die,0.634353985,0.586989899,0.259069342,0.595019659,0.579173975
pictures,0.603305194,0.550393254,0.195643261,0.55969657,0.541394162
cinematic,0.613964802,0.575919522,0.221807234,0.567534077,0.584556477
impressive,0.632422378,0.588037203,0.256225607,0.59097502,0.585128451
track,0.609600801,0.553911551,0.207138667,0.566365764,0.541993281
spent,0.603090571,0.554949463,0.196785715,0.556109325,0.553794428
product,0.615037917,0.562271211,0.218876982,0.571334105,0.553491352
heavy,0.61096008,0.564262821,0.212880099,0.564443732,0.564082025
pace,0.624695951,0.572243966,0.238121632,0.582600033,0.562249639
share,0.608026899,0.580506852,0.214124397,0.55496999,0.608507223
key,0.625697525,0.585879373,0.24453048,0.57782982,0.594156365
era,0.633710116,0.578947368,0.255123068,0.592692372,0.56582543
popular,0.622764344,0.569164147,0.233828469,0.578667553,0.559967846
remains,0.626341394,0.581791977,0.244132246,0.577951002,0.585684346
tone,0.609743883,0.575651497,0.215261409,0.555889423,0.596870463
aspect,0.609600801,0.556521739,0.207880908,0.560209424,0.552882286
issues,0.626842181,0.60225713,0.252946578,0.56992351,0.638480194
involving,0.62677064,0.581064804,0.244577561,0.577125538,0.585058215
immediately,0.606095293,0.555394057,0.201812705,0.554409157,0.556382462
agree,0.600586636,0.549212757,0.190664228,0.548106366,0.550323625
delivers,0.62247818,0.579085906,0.236972285,0.570934256,0.587473701
pick,0.605666047,0.555053277,0.200999037,0.553444945,0.556670984
oscar,0.624409787,0.601669196,0.24901981,0.566024268,0.642105263
likes,0.617112606,0.566850113,0.22377398,0.566208569,0.567493113
presented,0.617684933,0.563470021,0.223429881,0.568017128,0.558995138
cheap,0.649234511,0.594826874,0.285788979,0.606504887,0.583590076
fully,0.617255688,0.568548387,0.224650479,0.565266196,0.571868916
date,0.611747031,0.573181282,0.217713136,0.556166056,0.591270485
credit,0.610745457,0.556307592,0.209607779,0.559088674,0.553554041
potential,0.610745457,0.572214797,0.21575489,0.554979411,0.590555015
incredible,0.620975819,0.575752723,0.233348513,0.568199779,0.583509171
ability,0.613320933,0.561602725,0.215729151,0.560556995,0.562652365
crazy,0.625912148,0.588040652,0.24606081,0.570206264,0.607026675
sees,0.616111032,0.587611436,0.230680704,0.556153622,0.622841316
beautifully,0.652668479,0.622384693,0.302138685,0.594590578,0.6529047
places,0.609243096,0.556655844,0.207352794,0.553600258,0.559745348
fit,0.607526112,0.5534028,0.203356538,0.551875304,0.554938776
premise,0.655673201,0.623896226,0.307463237,0.598321343,0.651755102
leaving,0.607955358,0.56938551,0.210515695,0.548606905,0.591800065
company,0.594720275,0.529054784,0.173557896,0.538409475,0.520019611
weak,0.613678638,0.558246073,0.214997233,0.558794628,0.557698594
wrote,0.596437259,0.553753659,0.186202816,0.535495716,0.573300573
killed,0.695306911,0.660177132,0.38437585,0.643290313,0.677974435
outstanding,0.631635427,0.597388381,0.259235223,0.571001495,0.626332186
terms,0.612605523,0.563552833,0.215486904,0.553953415,0.573490814
extra,0.618686507,0.557382495,0.222534533,0.563844086,0.551067323
addition,0.62033195,0.553921157,0.223773069,0.567320937,0.54113976
standard,0.625482902,0.559528818,0.234112494,0.573275862,0.546425637
war,0.675919302,0.612886686,0.334900461,0.637511111,0.590093796
details,0.637358707,0.584269663,0.262700269,0.582311591,0.586240948
received,0.616397196,0.559263521,0.219682823,0.558437295,0.560092196
state,0.611246244,0.564792568,0.214008008,0.549734955,0.580698287
game,0.63256546,0.567895003,0.248551087,0.580395529,0.555921594
puts,0.608599227,0.556033433,0.206222096,0.547459252,0.564880462
write,0.601158964,0.556589517,0.195045672,0.537068304,0.577583361
romantic,0.696022321,0.636930702,0.376013887,0.659179342,0.616134898
incredibly,0.610101588,0.551809211,0.206807767,0.548471473,0.555187821
spend,0.604664473,0.563507109,0.203619643,0.538821752,0.590562914
force,0.624481328,0.5650841,0.234688278,0.565318302,0.564850091
honest,0.601373587,0.570326959,0.201859575,0.533467975,0.612657389
common,0.605594506,0.557579649,0.202412534,0.540700389,0.57554672
bunch,0.627271427,0.570415567,0.241266289,0.567607483,0.573251574
expecting,0.612033195,0.563330381,0.214822908,0.54741784,0.580195721
minor,0.613034769,0.559778628,0.214796137,0.549361022,0.570598971
daughter,0.621190442,0.574801253,0.233977903,0.555745342,0.595210378
visual,0.643725855,0.588769612,0.274538812,0.583565232,0.594067655
beauty,0.640005723,0.598403831,0.273265446,0.574031542,0.62493749
clever,0.663041923,0.626782884,0.321045912,0.597071256,0.659606404
appeal,0.624552869,0.569483183,0.236770675,0.560381014,0.578885924
compelling,0.664329661,0.637010676,0.327878925,0.593912291,0.68685352
car,0.626699099,0.572855272,0.241559184,0.562088353,0.584042731
smart,0.642223494,0.600591007,0.277705381,0.575451485,0.628027393
edge,0.640721133,0.575342466,0.264079383,0.582534247,0.568326094
dull,0.615538704,0.56765889,0.222404789,0.547146402,0.589769308
ridiculous,0.639361854,0.592382955,0.269653838,0.573329159,0.612746738
america,0.612319359,0.562666451,0.215297657,0.543413874,0.583333333
mentioned,0.611460867,0.543114327,0.205146054,0.54554673,0.540703518
editing,0.614179425,0.557624477,0.215807074,0.546111825,0.569632981
worthy,0.615109458,0.553378715,0.215287551,0.547830375,0.55904059
offer,0.594076406,0.53361828,0.174532754,0.523126511,0.544539507
adds,0.609028473,0.542869092,0.201333053,0.541284404,0.544463087
sadly,0.609243096,0.545060803,0.202655651,0.54064772,0.549546523
added,0.615538704,0.545423786,0.212357471,0.548579207,0.542304458
sequences,0.66211189,0.601804232,0.308361704,0.603177286,0.600437416
younger,0.625125197,0.56872428,0.237494053,0.556360709,0.581649832
decides,0.600515095,0.573284426,0.20373461,0.524835595,0.631587809
biggest,0.624695951,0.55564967,0.230838602,0.558868632,0.552467576
television,0.615109458,0.544993234,0.211503345,0.547121752,0.542881213
generally,0.616826442,0.555592433,0.218959766,0.547237659,0.564206269
romance,0.683431106,0.626802733,0.351941215,0.626327322,0.627278866
provide,0.606023752,0.535940002,0.193658316,0.534993271,0.536890089
meaning,0.619187294,0.579309255,0.234083485,0.544333878,0.619087838
office,0.63041923,0.572492552,0.247270925,0.560615883,0.584883328
ended,0.608670768,0.53620485,0.197759938,0.537480877,0.534934867
respect,0.613607097,0.561001382,0.216912204,0.539724742,0.58402437
annoying,0.62748605,0.574834653,0.244125797,0.554942456,0.596205962
horror,0.734296752,0.657127031,0.443040427,0.721467667,0.603322597
finding,0.610888539,0.572842221,0.21916657,0.533187135,0.618869846
convincing,0.631778509,0.587745294,0.256991987,0.556161892,0.623131793
trailer,0.618400343,0.558516802,0.222900235,0.544281336,0.573516913
exciting,0.656746316,0.595105485,0.297232597,0.590718713,0.599557898
buying,0.618972671,0.551154559,0.220192742,0.546001002,0.55640633
fresh,0.614894835,0.570767881,0.224176134,0.536260114,0.610022158
barely,0.612462441,0.546504814,0.208362709,0.536930416,0.556426867
subtle,0.625554443,0.592684825,0.251091606,0.544934173,0.649607642
public,0.630920017,0.559473999,0.241899683,0.55990429,0.559044369
included,0.627843754,0.55885346,0.237056784,0.554807207,0.562959166
ride,0.639290313,0.568321918,0.258543281,0.56958984,0.567059628
basic,0.626412935,0.552987502,0.232109897,0.554125922,0.55185375
flat,0.625268279,0.569172561,0.238436068,0.548596797,0.591351906
mix,0.623980541,0.554878049,0.229434231,0.549941246,0.55990429
reviewers,0.612104736,0.541596212,0.205478936,0.535797926,0.547521368
mood,0.615538704,0.564011034,0.221778152,0.536668211,0.594289622
control,0.617971097,0.55403374,0.220236495,0.541197585,0.567493584
literally,0.612820146,0.54220944,0.206854983,0.535684439,0.548895359
thinks,0.617971097,0.5687288,0.227845468,0.538050122,0.603117506
portrayed,0.630776935,0.587746625,0.256233439,0.550171975,0.630829904
development,0.618614966,0.562423049,0.225551238,0.539187913,0.587750901
masterpiece,0.618829589,0.568373299,0.229002103,0.538284487,0.602025056
knowing,0.615467163,0.554717919,0.217135226,0.535251799,0.57565337
fails,0.626126771,0.569593148,0.240171938,0.546460177,0.594771242
air,0.628845328,0.547926107,0.233199749,0.554693013,0.541322314
tough,0.629989984,0.568856285,0.245371298,0.551300695,0.58756673
blood,0.691300615,0.63360788,0.36700127,0.624539672,0.642943305
fair,0.612891687,0.532849866,0.202368272,0.533725355,0.531977245
inspired,0.614751753,0.543450615,0.210398547,0.534612177,0.552586207
quick,0.623408213,0.548387097,0.225455096,0.545765027,0.551034483
engaging,0.618686507,0.569258122,0.229615199,0.535583942,0.607450845
intelligent,0.628916869,0.583741273,0.25192737,0.54560456,0.627610009
purchase,0.619473458,0.538401458,0.214739952,0.541361257,0.535473848
considered,0.609314637,0.533765901,0.197629716,0.52795136,0.539709945
opportunity,0.604163686,0.54479638,0.196041683,0.519943467,0.572144462
speak,0.614179425,0.549494612,0.212879923,0.530398323,0.570017331
avoid,0.607025326,0.535161208,0.195138783,0.52273103,0.548196949
stands,0.610459293,0.537265233,0.201165277,0.526570048,0.548403886
situations,0.625268279,0.588854003,0.250329411,0.537546575,0.65098924
song,0.647517528,0.560755995,0.266767251,0.576218395,0.546101754
parents,0.643582773,0.585524126,0.273939387,0.561065051,0.612212944
impossible,0.620904278,0.548982892,0.222347878,0.536159601,0.562434601
content,0.610602375,0.559520919,0.213869774,0.52165384,0.603315881
alive,0.62462441,0.559334845,0.23321475,0.538922156,0.581354749
fascinating,0.667334383,0.620779644,0.326794628,0.582224262,0.664803493
manner,0.606309916,0.54591963,0.200363051,0.516955774,0.578321678
ideas,0.63256546,0.56378461,0.246835905,0.548232574,0.580244755
stage,0.623479754,0.557247413,0.230541729,0.536877938,0.579223505
decide,0.599942767,0.527463242,0.18132933,0.509800719,0.546393557
holds,0.609886965,0.540490436,0.202390475,0.520955166,0.56154789
catch,0.625268279,0.544680111,0.226341896,0.539893159,0.54955271
portrayal,0.648805265,0.603697425,0.291953478,0.559228238,0.655849851
helps,0.608742309,0.537896071,0.199479994,0.518403909,0.558911326
male,0.604306768,0.554418755,0.20297544,0.511825078,0.604745167
natural,0.60659608,0.553833671,0.205808272,0.513928625,0.600457424
girls,0.607025326,0.556980402,0.208597887,0.512694878,0.609639831
process,0.610602375,0.540946276,0.204098299,0.517091261,0.567108753
changed,0.619187294,0.546399659,0.219057214,0.526436782,0.567936227
equally,0.615753327,0.545485318,0.213851264,0.522027859,0.571150097
society,0.619187294,0.575552189,0.236598355,0.522664736,0.640347764
charm,0.660537988,0.605274104,0.309578277,0.569327074,0.646066418
century,0.649806839,0.575859977,0.277988782,0.561507266,0.590965677
cold,0.633924739,0.569963863,0.25300523,0.539882184,0.603595586
pass,0.612104736,0.528111401,0.19912633,0.51616196,0.540627227
dream,0.604879096,0.541393341,0.197239224,0.506289797,0.581727338
casting,0.630133066,0.58259325,0.256099104,0.531134992,0.645092079
image,0.61382172,0.532964181,0.204390261,0.515912898,0.551181102
directing,0.623980541,0.567763158,0.238904242,0.525019011,0.618084154
michael,0.607740735,0.526552111,0.192460009,0.508166667,0.546317864
social,0.615180999,0.572654326,0.230806386,0.514196034,0.646109717
conclusion,0.62462441,0.56205659,0.236374335,0.525518964,0.604054539
states,0.624767492,0.544031992,0.225802136,0.527122642,0.562062152
proves,0.616540278,0.549276825,0.217975983,0.516282011,0.58677686
adult,0.641436543,0.581426424,0.270538913,0.543142456,0.625516622
bottom,0.61596795,0.532404181,0.207122261,0.516477945,0.549343879
personally,0.62033195,0.533696512,0.213786527,0.522000688,0.545928456
folks,0.611961654,0.530795848,0.200860166,0.510652463,0.55259366
red,0.622048934,0.542795327,0.221546224,0.522057599,0.565248738
rarely,0.614322507,0.549360528,0.215458269,0.511678605,0.593033748
concept,0.642295035,0.570299072,0.26514007,0.544112824,0.599133261
pull,0.615681786,0.540304638,0.211699653,0.513249878,0.57037037
pieces,0.633137788,0.550412064,0.241084157,0.533571307,0.568350534
treat,0.615324081,0.532475437,0.206619743,0.511697861,0.555011782
fear,0.635212477,0.567551522,0.254370559,0.533227092,0.606598985
brother,0.593217914,0.512684265,0.165369324,0.486183355,0.542240754
complex,0.654457004,0.599767981,0.299760774,0.551929236,0.656686627
laughs,0.729288883,0.662444246,0.436585915,0.65151781,0.673743422
musical,0.663185005,0.564557899,0.290099145,0.575306315,0.554203741
boys,0.60952926,0.534538632,0.200401732,0.503777528,0.569300636
opens,0.61668336,0.54577823,0.216757255,0.511683357,0.584741144
mark,0.607740735,0.525322483,0.192342571,0.501819385,0.551135332
james,0.629632279,0.547425474,0.234764293,0.527281913,0.569169242
street,0.609028473,0.52416195,0.193471272,0.501917625,0.548469388
critics,0.627843754,0.551087332,0.234812862,0.523185319,0.58213309
narrative,0.628559164,0.574146982,0.250687319,0.521531813,0.638569604
twist,0.651595364,0.575783972,0.28123007,0.550833333,0.60310219
compared,0.625769066,0.526649172,0.217263873,0.521505376,0.531895449
appearance,0.614179425,0.536245593,0.207902828,0.506333225,0.569914092
questions,0.641436543,0.573446809,0.266755206,0.536123488,0.616355653
color,0.623980541,0.533297816,0.218928782,0.517758621,0.549798609
project,0.613678638,0.525065963,0.200356482,0.504990695,0.546803444
suddenly,0.626985263,0.550981743,0.23392095,0.519824504,0.586112129
themes,0.632923165,0.578216194,0.259318535,0.524299344,0.644493311
lovely,0.637931034,0.565691238,0.257438639,0.531612903,0.604437924
team,0.649520675,0.555887952,0.266517081,0.548675734,0.563292302
studio,0.63041923,0.548742138,0.237087088,0.522977023,0.577177508
amusing,0.684146516,0.611799877,0.346412503,0.58628244,0.63963964
approach,0.617041065,0.549676117,0.220720208,0.506590169,0.600772343
notice,0.618543425,0.527974504,0.208703942,0.508613338,0.548868029
escape,0.625125197,0.549286083,0.230806423,0.515166183,0.588246131
pleasure,0.613535556,0.532294372,0.205045176,0.502123489,0.566322771
finish,0.622048934,0.537916557,0.219565415,0.511988012,0.566611388
detail,0.647946774,0.568143923,0.272187997,0.541757322,0.597232472
surprising,0.617541851,0.547868742,0.22049921,0.505461923,0.598042836
intended,0.620260409,0.531343811,0.213189306,0.509050922,0.55567867
hoping,0.616182573,0.527520916,0.205518147,0.504123885,0.553195419
lacks,0.628201459,0.540941613,0.229554883,0.518017256,0.565988909
aspects,0.625053656,0.54595859,0.228766461,0.513777923,0.582439926
condition,0.614894835,0.533090468,0.207658403,0.501141553,0.569390402
tired,0.623122049,0.545705416,0.226349777,0.510240284,0.586468953
soul,0.627271427,0.563066085,0.243235742,0.513931415,0.622589021
ready,0.606166834,0.516893374,0.186138371,0.490261362,0.546585004
plain,0.619187294,0.538854717,0.217008129,0.505034102,0.577530176
disc,0.632064673,0.554139575,0.243293239,0.519590311,0.593610698
documentary,0.70246101,0.604394559,0.366175102,0.619056898,0.590410704
spirit,0.627843754,0.557276596,0.240226611,0.513810421,0.608776497
loud,0.643797396,0.572507942,0.270266235,0.531823257,0.619933061
thrown,0.628559164,0.53758461,0.228225867,0.514753539,0.562534949
win,0.624552869,0.543731525,0.227227906,0.509449332,0.582960477
putting,0.607168407,0.50775437,0.181840315,0.487771271,0.529444756
values,0.595721849,0.511370514,0.169975887,0.47532551,0.553330838
motion,0.627342968,0.536607063,0.226341657,0.510407852,0.56564141
slowly,0.631635427,0.5664,0.251972055,0.513905868,0.630838492
atmosphere,0.664901989,0.588255977,0.307649834,0.553240741,0.628003003
earth,0.644369724,0.542980601,0.252121608,0.532072072,0.554345786
theatrical,0.614894835,0.529252296,0.20601444,0.495253682,0.568262911
genuine,0.616039491,0.554346924,0.224945854,0.496800119,0.626972201
weird,0.65274002,0.573686984,0.282852011,0.538499588,0.6137944
hair,0.610316211,0.532004468,0.202456288,0.489563567,0.582502352
seemingly,0.623265131,0.547127623,0.228807029,0.503163556,0.599509989
held,0.620546573,0.53020372,0.21396303,0.499499332,0.564930162
plan,0.625983689,0.529686938,0.220361815,0.506015813,0.555681389
nicely,0.620975819,0.529401315,0.214017167,0.499497151,0.563114135
mess,0.634640149,0.557260511,0.249853098,0.514734145,0.607446607
secret,0.632780083,0.539599964,0.235503147,0.513485831,0.568512569
wide,0.618400343,0.516146589,0.201972217,0.496076722,0.537908867
producers,0.617899556,0.515115751,0.200663136,0.495459308,0.536396294
touching,0.663041923,0.600237651,0.31429783,0.544334975,0.668936814
party,0.597081127,0.520843968,0.179375819,0.472814334,0.579734848
suggest,0.612462441,0.516123269,0.194663146,0.488419273,0.547159091
tension,0.665832022,0.590873259,0.311166801,0.549348534,0.639188933
drawn,0.623837459,0.553195105,0.234329706,0.501386322,0.616944655
taste,0.604592932,0.529096021,0.194286351,0.480501393,0.588625592
exception,0.623980541,0.530881828,0.218919116,0.501517707,0.563898369
charming,0.685076549,0.611679605,0.348974551,0.571829127,0.657500474
wonderfully,0.627772213,0.551504181,0.237999074,0.504813003,0.607712766
double,0.629274574,0.537569159,0.230126225,0.506559031,0.572623574
producer,0.600443554,0.486719971,0.160235749,0.470922995,0.503613541
difference,0.616325655,0.51827899,0.201123589,0.490980259,0.548792087
post,0.623122049,0.521525886,0.211772216,0.498264491,0.547065549
culture,0.614107884,0.554803566,0.224898674,0.489299753,0.640556508
support,0.611532408,0.544615901,0.214369276,0.486150621,0.619065777
award,0.616254114,0.546882919,0.221501213,0.490975277,0.617159199
store,0.605022178,0.520704922,0.189367349,0.477928287,0.571891686
showed,0.616254114,0.523961661,0.205118116,0.489958506,0.56303643
writers,0.633495493,0.552693617,0.24602629,0.509497746,0.603892387
walk,0.603949063,0.507823613,0.179048489,0.475445314,0.544934173
sexual,0.62898841,0.570553163,0.253864854,0.504023409,0.657317306
faces,0.606023752,0.51061939,0.183527189,0.477718656,0.548387097
david,0.615395622,0.522642515,0.203228847,0.488545817,0.56185567
fire,0.633567034,0.523446223,0.226108108,0.510433678,0.537139584
vhs,0.629346115,0.532948706,0.227321524,0.504522956,0.564768819
lived,0.616754901,0.533484281,0.212590879,0.49008,0.585323906
hasnt,0.618686507,0.529816514,0.21235602,0.491650295,0.574407039
werent,0.620904278,0.521621378,0.209322349,0.493846154,0.552707098
wild,0.623765918,0.517744154,0.210188151,0.497094559,0.540183697
lady,0.601230505,0.520392359,0.185057818,0.472647702,0.578866769
drive,0.60659608,0.512715995,0.185936792,0.477077836,0.554108408
ground,0.630705394,0.528842643,0.226301623,0.505055788,0.554980843
stunning,0.648018314,0.573509015,0.278466748,0.523666297,0.6338379
ahead,0.623622836,0.522118267,0.213064707,0.496287342,0.550785742
central,0.618614966,0.551753132,0.228586318,0.491094148,0.629508826
hits,0.621118901,0.54711818,0.228101311,0.493140126,0.614365278
born,0.607883817,0.52285192,0.194962495,0.478108581,0.576834422
step,0.61818572,0.520786567,0.205720382,0.488791505,0.557263643
featuring,0.615681786,0.52155326,0.20328122,0.485975104,0.562752258
positive,0.606810703,0.529129541,0.198380062,0.477353532,0.593503748
audio,0.622907426,0.533911044,0.220773122,0.493784756,0.581135707
impressed,0.627986836,0.530855287,0.224683824,0.499321113,0.566640986
suspense,0.740234654,0.663391119,0.452399913,0.639156842,0.689535556
mystery,0.697739305,0.601226994,0.358032825,0.58905123,0.613916731
beat,0.620117327,0.522825306,0.209679152,0.489648207,0.56082514
